"sample_id","sample_id_metaphlan","study_readable","species","gender","age","weight","antibiotics","medications","Hill's/Public","Facility/Household"
"SRS020869","SRS020869","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS064757","SRS064757","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS020271","SRS020271","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS013940","SRS013940","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1055043","SRS1055043","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS015578","SRS015578","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1041039","SRS1041039","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1054716","SRS1054716","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS045826","SRS045826","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS012969","SRS012969","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1041090","SRS1041090","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS049446","SRS049446","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS043841","SRS043841","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS011134","SRS011134","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS019808","SRS019808","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS014344","SRS014344","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS017745","SRS017745","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1041038","SRS1041038","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS045195","SRS045195","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS063518","SRS063518","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS893366","SRS893366","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS013800","SRS013800","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS016585","SRS016585","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS018049","SRS018049","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS011529","SRS011529","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS014923","SRS014923","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS013639","SRS013639","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS016954","SRS016954","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS019397","SRS019397","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS016267","SRS016267","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1041129","SRS1041129","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS062716","SRS062716","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS013158","SRS013158","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS014683","SRS014683","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS012902","SRS012902","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS055966","SRS055966","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS017821","SRS017821","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS054905","SRS054905","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS016897","SRS016897","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS077641","SRS077641","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS019968","SRS019968","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS023346","SRS023346","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS1041032","SRS1041032","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS018732","SRS018732","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS1041116","SRS1041116","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS017701","SRS017701","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS893256","SRS893256","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS1041130","SRS1041130","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS018313","SRS018313","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS049900","SRS049900","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS077127","SRS077127","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS019445","SRS019445","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS019286","SRS019286","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS015264","SRS015264","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS077589","SRS077589","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS014736","SRS014736","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS077454","SRS077454","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS054659","SRS054659","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS050941","SRS050941","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1041091","SRS1041091","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS018351","SRS018351","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS013638","SRS013638","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS015579","SRS015579","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS014534","SRS014534","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS886701","SRS886701","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS018817","SRS018817","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS016495","SRS016495","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS1041092","SRS1041092","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS018836","SRS018836","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS015486","SRS015486","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS016018","SRS016018","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS013965","SRS013965","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS097958","SRS097958","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1041093","SRS1041093","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS019693","SRS019693","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS014613","SRS014613","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS077231","SRS077231","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS014412","SRS014412","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS017307","SRS017307","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS015280","SRS015280","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS045713","SRS045713","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1041112","SRS1041112","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS015369","SRS015369","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS016132","SRS016132","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS018936","SRS018936","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS014313","SRS014313","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS017859","SRS017859","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS046712","SRS046712","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS024663","SRS024663","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS015960","SRS015960","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS018541","SRS018541","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS019496","SRS019496","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS043001","SRS043001","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS055288","SRS055288","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS017433","SRS017433","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS077392","SRS077392","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS016381","SRS016381","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS016753","SRS016753","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS016437","SRS016437","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS018575","SRS018575","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS016056","SRS016056","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS018656","SRS018656","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS018623","SRS018623","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS064232","SRS064232","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS1041124","SRS1041124","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS1041142","SRS1041142","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"A55_01_1FE","A55_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A32_01_1FE","A32_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A94_01_1FE","A94_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A04_01_1FE","A04_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A53_01_1FE","A53_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A25_01_1FE","A25_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A46_02_1FE","A46_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A73_01_1FE","A73_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A24_02_1FE","A24_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A82_02_1FE","A82_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"V32_02_2FE","V32_02_2FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A19_03_1FE","A19_03_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A91_01_1FE","A91_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"V50_02_1FE","V50_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A85_01_1FE","A85_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A01_02_1FE","A01_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"V19_02_2FE","V19_02_2FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A39_02_1FE","A39_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"V30_01_1FE","V30_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A79_02_1FE","A79_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A62_01_1FE","A62_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A47_02_1FE","A47_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A94_03_1FE","A94_03_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A69_02_1FE","A69_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"V40_01_1FE","V40_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A68_01_1FE","A68_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A90_04_1FE","A90_04_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A88_02_1FE","A88_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A89_02_1FE","A89_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A09_01_1FE","A09_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A56_01_1FE","A56_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A20_01_1FE","A20_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A36_02_1FE","A36_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A39_04_1FE","A39_04_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A13_03_1FE","A13_03_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A70_03_1FE","A70_03_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A07_01_1FE","A07_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A62_03_1FE","A62_03_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A91_02_1FE","A91_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A72_01_1FE","A72_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"V36_02_2FE","V36_02_2FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"V50_01_2FE","V50_01_2FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A05_01_1FE","A05_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A03_01_1FE","A03_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A67_01_1FE","A67_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"V50_01_1FE","V50_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A27_02_1FE","A27_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A10_01_1FE","A10_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A81_03_1FE","A81_03_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A20_03_1FE","A20_03_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A34_02_1FE","A34_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A36_01_1FE","A36_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A72_02_1FE","A72_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A40_02_1FE","A40_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A42_02_1FE","A42_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A41_01_1FE","A41_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A81_01_1FE","A81_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A73_02_1FE","A73_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A92_01_1FE","A92_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A04_04_1FE","A04_04_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A55_02_1FE","A55_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"V01_01_1FE","V01_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A95_01_1FE","A95_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A39_01_1FE","A39_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A69_01_1FE","A69_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A90_03_1FE","A90_03_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"V54_01_1FE","V54_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A15_02_1FE","A15_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A89_01_1FE","A89_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"V18_02_1FE","V18_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"V53_02_1FE","V53_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A28_02_1FE","A28_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"V19_01_2FE","V19_01_2FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A13_01_1FE","A13_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
