feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	reference	fdr.pval
Pleuromutilins	species2	cat	8.54578918	0.285437119	2657	439	5.01E-169	1.90E-167	dog	2.86E-167
Macrolides	species2	cat	-3.813153081	0.215647877	2657	2560	5.45E-65	1.04E-63	dog	1.55E-63
Streptogramins	species2	cat	-6.441969414	0.425689441	2657	1727	2.39E-48	3.03E-47	dog	4.55E-47
Ansamycins	species2	cat	-5.356909902	0.414451957	2657	1454	7.01E-34	6.66E-33	dog	9.99E-33
Peptide.antibiotics	species2	cat	-4.845651527	0.397208558	2657	1484	1.44E-30	1.09E-29	dog	1.64E-29
Aminoglycosides	species2	cat	-3.468675016	0.356184142	2657	2408	1.67E-21	1.06E-20	dog	1.58E-20
Sulfonamides	species2	cat	-3.041822569	0.358312503	2657	479	4.02E-17	1.91E-16	dog	2.86E-16
Sulfones	species2	cat	-3.041821299	0.358306491	2657	479	4.01E-17	1.91E-16	dog	2.86E-16
Diaminopyrimidines	species2	cat	-2.48846876	0.35850839	2657	904	5.98E-12	2.53E-11	dog	3.79E-11
Tetracyclines	species2	cat	-0.50655432	0.118718156	2657	2650	2.13E-05	8.10E-05	dog	0.000121427
B.lactams	species2	cat	-1.481842202	0.381633832	2657	2305	0.0001069	0.00036929	dog	0.000553935
Quinolones	species2	cat	-1.60895455	0.537619951	2657	1167	0.002844526	0.009007664	dog	0.013511496
Nitroimidazoles	species2	cat	-1.005560604	0.342473847	2657	751	0.003433145	0.010035346	dog	0.015053019
Peptide.antibiotics	species2	HMP1-II	-5.87791028	1.777617584	2657	1484	0.004204072	0.011411051	dog	0.017116577
Disinfecting.agents.and.antiseptics	species2	cat	-1.353852864	0.492422348	2657	1054	0.006086971	0.015420327	dog	0.023130491
Ansamycins	species2	HMP1-II	-5.746129122	1.881661519	2657	1454	0.007123157	0.016917497	dog	0.025376246
Phosphonic.acid.antibiotics	species2	cat	-0.96815926	0.365820363	2657	736	0.008256761	0.01845629	dog	0.027684435
Streptogramins	species2	HMP1-II	8.751709545	3.023446021	2657	1727	0.010686918	0.02538143	cat	0.033841907
Nucleosides	species2	cat	-0.961423948	0.395885306	2657	1105	0.0153626	0.032432156	dog	0.0460878
Aminocoumarins	species2	cat	-1.046337553	0.458218822	2657	978	0.022644628	0.045289257	dog	0.064537191
Macrolides	species2	HMP1-II	3.590460068	1.738287315	2657	2560	0.053634985	0.101906471	cat	0.138963369
Phenicols	species2	cat	-0.940619509	0.483688524	2657	1209	0.05203562	0.098867678	dog	0.138963369
Pleuromutilins	species2	HMP1-II	-7.04427107	3.598034559	2657	439	0.065772477	0.119016862	cat	0.163001355
Diaminopyrimidines	species2	HMP1-II	4.300189603	2.304175993	2657	904	0.078239612	0.135141148	cat	0.185819079
Tetracyclines	species2	HMP1-II	1.131780584	0.780479256	2657	2650	0.16885747	0.278981907	cat	0.384995032
Aminoglycosides	species2	HMP1-II	2.531986423	2.044876825	2657	2408	0.232401452	0.367968966	cat	0.487225366
Disinfecting.agents.and.antiseptics	species2	HMP1-II	-3.264501649	2.668596351	2657	1054	0.238060546	0.413403341	dog	0.487225366
Quinolones	species2	HMP1-II	-3.456505508	2.831510265	2657	1167	0.239338776	0.413403341	dog	0.487225366
Aminocoumarins	species2	HMP1-II	-2.816308727	2.435770422	2657	978	0.264418429	0.425761506	dog	0.494432717
Lincosamides	species2	HMP1-II	-1.789289717	1.550851977	2657	2624	0.263339134	0.400275484	cat	0.494432717
Phosphonic.acid.antibiotics	species2	HMP1-II	-2.475287032	2.152670207	2657	736	0.268902004	0.425761506	dog	0.494432717
Lincosamides	species2	HMP1-II	-1.634871246	1.544676039	2657	2624	0.303743829	0.46169062	dog	0.541043695
Nitroimidazoles	species2	HMP1-II	-1.644266148	1.674923309	2657	751	0.340814547	0.498113568	dog	0.588679672
B.lactams	species2	HMP1-II	2.729395992	3.019413427	2657	2305	0.379651014	0.554874559	cat	0.636473758
Diaminopyrimidines	species2	HMP1-II	1.811720845	2.291082424	2657	904	0.439491695	0.575459492	dog	0.681465188
Lincosamides	species2	cat	0.154418471	0.20131364	2657	2624	0.443147194	0.575459492	dog	0.681465188
Streptogramins	species2	HMP1-II	2.309740298	3.009329088	2657	1727	0.454310125	0.575459492	dog	0.681465188
Tetracyclines	species2	HMP1-II	0.625226264	0.776237235	2657	2650	0.434159337	0.575459492	dog	0.681465188
Aminocoumarins	species2	HMP1-II	-1.769971177	2.455756129	2657	978	0.4810922	0.630252689	cat	0.691740757
Disinfecting.agents.and.antiseptics	species2	HMP1-II	-1.91064879	2.689674935	2657	1054	0.486940774	0.630252689	cat	0.691740757
Phosphonic.acid.antibiotics	species2	HMP1-II	-1.507127772	2.167131634	2657	736	0.497567913	0.630252689	cat	0.691740757
Quinolones	species2	HMP1-II	-1.847550961	2.855171354	2657	1167	0.526219143	0.645042821	cat	0.714154552
Peptide.antibiotics	species2	HMP1-II	-1.032258754	1.798141963	2657	1484	0.573209638	0.673763604	cat	0.727721819
Phenicols	species2	HMP1-II	-1.695288264	2.960576746	2657	1209	0.574044272	0.703667172	dog	0.727721819
Sulfonamides	species2	HMP1-II	1.544748523	2.918034604	2657	479	0.602841038	0.673763604	cat	0.727721819
Sulfonamides	species2	HMP1-II	-1.497073928	2.907606936	2657	479	0.612816706	0.705669643	dog	0.727721819
Sulfones	species2	HMP1-II	1.544749838	2.918037837	2657	479	0.602841119	0.673763604	cat	0.727721819
Sulfones	species2	HMP1-II	-1.497071461	2.907615754	2657	479	0.612818374	0.705669643	dog	0.727721819
Aminoglycosides	species2	HMP1-II	-0.936688593	2.030358008	2657	2408	0.650525948	0.722004828	dog	0.756734266
B.lactams	species2	HMP1-II	1.247553897	3.008001777	2657	2305	0.684004574	0.722004828	dog	0.7644757
Pleuromutilins	species2	HMP1-II	1.50151811	3.592575405	2657	439	0.680904083	0.722004828	dog	0.7644757
Nitroimidazoles	species2	HMP1-II	-0.638705546	1.691129232	2657	751	0.710455922	0.762671888	cat	0.777061923
Nucleosides	species2	HMP1-II	0.761176089	2.108662772	2657	1105	0.722531262	0.762671888	cat	0.777061923
Phenicols	species2	HMP1-II	-0.754668772	2.978986448	2657	1209	0.802844721	0.824543227	cat	0.847447206
Ansamycins	species2	HMP1-II	-0.38921922	1.902771745	2657	1454	0.840238889	0.840238889	cat	0.87079303
Macrolides	species2	HMP1-II	-0.222693013	1.731952755	2657	2560	0.899140824	0.923441927	dog	0.91519691
Nucleosides	species2	HMP1-II	-0.200247865	2.091290459	2657	1105	0.924860134	0.924860134	dog	0.924860134
