clade_name	A01_02_1FE	A02_01_1FE	A03_01_1FE	A04_01_1FE	A04_04_1FE	A05_01_1FE	A06_01_1FE	A07_01_1FE	A08_01_1FE	A09_01_1FE	A09_02_1FE	A10_01_1FE	A10_02_1FE	A11_01_1FE	A13_01_1FE	A13_03_1FE	A14_01_1FE	A15_02_1FE	A19_01_1FE	A19_03_1FE	A20_01_1FE	A20_03_1FE	A22_01_1FE	A23_01_1FE	A24_02_1FE	A24_04_1FE	A25_01_1FE	A26_01_1FE	A27_02_1FE	A28_02_1FE	A29_01_1FE	A32_01_1FE	A34_01_1FE	A34_02_1FE	A35_01_1FE	A36_01_1FE	A36_02_1FE	A37_02_1FE	A39_01_1FE	A39_02_1FE	A39_04_1FE	A40_02_1FE	A41_01_1FE	A42_02_1FE	A43_02_1FE	A44_01_1FE	A45_02_1FE	A46_01_1FE	A46_02_1FE	A47_01_1FE	A47_02_1FE	A48_01_1FE	A48_05_1FE	A49_01_1FE	A53_01_1FE	A54_02_1FE	A55_01_1FE	A55_02_1FE	A56_01_1FE	A58_01_1FE	A58_03_1FE	A59_01_1FE	A62_01_1FE	A62_03_1FE	A66_02_1FE	A67_01_1FE	A68_01_1FE	A69_01_1FE	A69_02_1FE	A70_01_1FE	A70_03_1FE	A70_04_1FE	A72_01_1FE	A72_02_1FE	A73_01_1FE	A73_02_1FE	A75_02_1FE	A79_02_1FE	A81_01_1FE	A81_03_1FE	A82_02_1FE	A83_02_1FE	A85_01_1FE	A88_02_1FE	A89_01_1FE	A89_02_1FE	A90_03_1FE	A90_04_1FE	A91_01_1FE	A91_02_1FE	A92_01_1FE	A93_01_1FE	A94_01_1FE	A94_02_1FE	A94_03_1FE	A95_01_1FE	V01_01_1FE	V06_02_1FE	V07_01_2FE	V07_02_2FE	V12_01_2FE	V18_02_1FE	V19_01_2FE	V19_02_2FE	V30_01_1FE	V31_01_2FE	V32_02_2FE	V36_02_2FE	V40_01_1FE	V48_03_2FE	V50_01_1FE	V50_01_2FE	V50_02_1FE	V53_02_1FE	V54_01_1FE
k__Bacteria|p__Firmicutes|c__CFGB3071|o__OFGB3071|f__FGB3071|g__GGB9778|s__GGB9778_SGB15398|t__SGB15398	0	0	0	0	0	0	0	0	0.0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01221	0	0	0	0	0	0	0	0.01746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01236	0	0.00803	0	0	0	0	0	0.00929	0.0026	0	0.00055	0	0	0	0	0	0	0	0.00578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__GGB9383|s__GGB9383_SGB72489|t__SGB72489	0	0	0	0	0	0	0	0	0.00525	0	0.00518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00417	0	0	0	0.00013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00452	0	0	0	0	0	0	0.01353	0	0	0	0.00279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0173	0	0	0	0.00144	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_SGB72504|t__SGB72504	0	0	0	0	0	0	0	0	0.0051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02468	0.00081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2836|o__OFGB2836|f__FGB2836|g__GGB9071|s__GGB9071_SGB13990|t__SGB13990	0	0	0	0	0	0	0	0	0.00489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00337	0	0	0	0	0.01211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02374	0	0	0	0	0	0	0	0	0	0	0.02215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_SGB14208|t__SGB14208	0	0	0	0	0	0	0	0	0.00465	0	0	0.00065	0	0	0.03875	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04094	0	0	0.01707	0	0	0	0.00903	0	0	0.02391	0	0	0	0	0	0	0	0.00929	0	0.00294	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05062	0	0	0	0	0	0	0.00595	0	0	0.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02591	0	0	0	0	0	0.05792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069|f__FGB3069|g__GGB9770|s__GGB9770_SGB57575|t__SGB57575	0	0	0	0	0	0	0	0	0.00438	0	0	0	0	0	0	0.02569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00105	0	0	0	0	0	0.00312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae|g__Victivallis|s__Victivallis_sp_Marseille_Q1083|t__SGB9193	0	0	0	0	0	0	0	0	0.00428	0	0	0	0	0	0	0	0	0	0.03291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00037	0	0	0.00107	0.14301	0	0	0.00076	0	0	0	0	0	0	0	0	0	0.00033	0	0	0	0	0	0	0	0.00102	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048|f__FGB3048|g__GGB9561|s__GGB9561_SGB14972|t__SGB14972	0	0	0	0	0	0	0	0	0.00385	0	0.00048	0	0	0	0	0	0	0	0.01318	0	0	0	0	0	0	0	0	0	0.00779	0	0	0.02782	0	0	0	0	0	0	0	0.00032	0	0	0	0	0.01333	0	0	0.00422	0	0	0.00105	0	0	0	0	0	0.00181	0.00037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13113	0.00907	0	0.0048	0	0	0	0.04084	0	0	0.01514	0	0.0034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB4621|o__OFGB4621|f__FGB4621|g__GGB18336|s__GGB18336_SGB20700|t__SGB20700	0	0	0	0	0	0	0	0	0.00369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01752	0	0	0.02132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9634|s__GGB9634_SGB15099|t__SGB15099	0	0	0	0	0	0	0	0	0.00318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01179	0	0	0	0	0	0.00102	0	0	0	0	0	0	0	0	0	0.00079	0	0	0	0	0	0	0	0	0.00328	0	0	0.01246	0	0	0	0	0	0	0.00459	0	0.00089	0	0	0	0	0	0	0	0	0	0.00527	0	0.03698	0.00088	0.08553	0	0	0.0019	0	0	0	0	0	0.06079	0.20879	0.0697	0	0.00109	0.33508	0	0	0	0	0.00386	0.00181	0.00297	0	0	0	0	0.01461	0	0	0	0	0	0	0.14599	0	0	0	0	0.09494	0	0
k__Bacteria|p__Proteobacteria|c__CFGB2116|o__OFGB2116|f__FGB2116|g__GGB6037|s__GGB6037_SGB8671|t__SGB8671	0	0	0	0	0	0	0	0	0.00294	0	0	0	1.84731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12302	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Clostridium_leptum|t__SGB14853	0	0	0	0	0	0	0	0	0.00284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00883	0	0	0	0	0.00034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016	0	0	0	0	0	0	0	0	0	0	0	0.00103	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Allochristensenella|s__Candidatus_Allochristensenella_caecavium|t__SGB63369	0	0	0	0	0	0	0	0	0.00229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00043	0	0.00177	0	0	0	0	0	0	0.00089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2840|o__OFGB2840|f__FGB2840|g__GGB9093|s__GGB9093_SGB14023|t__SGB14023	0	0	0	0	0	0	0	0	0.00225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0.00139	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.12492	0	0	0	0.02216	0	0	0	0	0.00342	0	0	0	0	0.03237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01243	0	0.00384	0	0	0	0	0.00643	0	0	0.00197	0.02483	0	0	0	0.06527	0	0	0.00886	0	0	0.034	0	0	0	0	0.00471	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB31455|o__OFGB31455|f__FGB31455|g__GGB4699|s__GGB4699_SGB6501|t__SGB6501	0	0	0	0	0	0	0	0	0.00189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10021|o__OFGB10021|f__FGB10021|g__GGB13402|s__GGB13402_SGB14203|t__SGB14203	0	0	0	0	0	0	0	0	0.00143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0158	0	0.00257	0	0	0	0	0	0	0	0.80192	0	0	0	0	0	0	0.00105	0	0	0	0.00869	0.2105	0	0	0.00655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10574	0	0.01287	0	0	0.01249	0	0.01751	0	0	0	0	0	0	0	0.00259	0	0	0.00084	0	0	0	0	0	0.04031	0	0	0	0	0.00366	0	0
k__Bacteria|p__Firmicutes|c__CFGB76357|o__OFGB76357|f__FGB76357|g__GGB79845|s__GGB79845_SGB14005|t__SGB14005	0	0	0	0	0	0	0	0	0.00123	0	0	0	0	0	0.01444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00489	0	0.03564	0	0	0	0.05769	0	0	0.01282	0.00828	0	0	0	0	0.00925	0	0.00654	0.00255	0.18478	0	0.01726	0	0.00148	0	0.01601	0	0	0	0.01092	0	0	0	0	0	0	0	0	0	0	0	0.00155	0	0.00532	0	0.05168	0	0.01124	0	0.01391	0.04348	0	0	0	0.00237	0	0.58116	0	0.036	0.60591	0	0	0	0	0.00224	0.16452	0.01047	0.01747	0	0.0172	0.14204	0	0.00139	0	0.04104	0	0.00052	0	0.03804	0.0383	0	0	0	0.27655	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__GGB9786|s__GGB9786_SGB15409|t__SGB15409	0	0	0	0	0	0	0	0	0.00118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16186	0	0	0	0	0	0.00882	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00445	0.1517	0	0	0	0.00564	0	0	0.01086	0.00127	0	0	0	0	0.06538	0	0	0	0	0	0	0.00247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB9717|s__GGB9717_SGB15270|t__SGB15270	0	0	0	0	0	0	0	0	0.00108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14625	0	0	0	0	0	0.02432	0	4.00E-05	0	0.00803	0	0	0	0	0.04551	0.01854	0	0.00389	0	0	0	0	0	0	0	0	0.00515	0	0	0	0	0	0	0	0	0	0	0	0.00219	0	0	0	0.01175	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00886	0	0	0.03017	0	0.00083	0	0	0.01855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00762	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB35068|s__GGB35068_SGB47850|t__SGB47850	0	0	0	0	0	0	0	0	0.00102	0	0	0	0	0	0.00182	0	0	0	0	0	0	0	0	0	0.00128	0	0	0	0	0	0	0.01183	0	0.0089	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00113	0.01455	0	0	0.00273	0	0	0.00888	0	0	0.00098	0.00619	0	0	0	0.00213	0	0	0	0	0	0	0	0.00776	0	0.0007	0	0.00733	0	0	0	0	0.00592	0	0.00409	0	0	0.01311	0.00127	0.0374	0	0.01308	0	0	0	0	0.00218	0	0	0	0.00425	0	0	0	0	0.00819	0.05262	0.00269	0	0	0.01534	0.00447	0.00108	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF27_2AA|t__SGB4712	0	0	0	0	0	0	0	0	0.00076	0.00058	0	0	0	0	0	0.001	0	0	0	0	0	0	0.0818	0	0	0	0.02402	0	0	0	0	0.02409	0	0	0	0	0	0	0	0	0	0.01356	0	0	0	0	0	0	0	0	0	0	0	0.00669	0.02114	0	0	0	0.00855	0	0	0	0	0	0	0	0	0	0	0.01359	0	0	0	0	0	0	0	0	0	0	0	0	0.00462	0	0.02318	0.01893	0	0.00583	0.06588	0.00352	0	0	0	0.00858	0	0.00126	0	0.00308	0	0	0	0	0.03263	0.06647	0	0	0	0	0	0	0	0	0	0	0
