clade_name	A01_02_1FE	A02_01_1FE	A03_01_1FE	A04_01_1FE	A04_04_1FE	A05_01_1FE	A06_01_1FE	A07_01_1FE	A08_01_1FE	A09_01_1FE	A09_02_1FE	A10_01_1FE	A10_02_1FE	A11_01_1FE	A13_01_1FE	A13_03_1FE	A14_01_1FE	A15_02_1FE	A19_01_1FE	A19_03_1FE	A20_01_1FE	A20_03_1FE	A22_01_1FE	A23_01_1FE	A24_02_1FE	A24_04_1FE	A25_01_1FE	A26_01_1FE	A27_02_1FE	A28_02_1FE	A29_01_1FE	A32_01_1FE	A34_01_1FE	A34_02_1FE	A35_01_1FE	A36_01_1FE	A36_02_1FE	A37_02_1FE	A39_01_1FE	A39_02_1FE	A39_04_1FE	A40_02_1FE	A41_01_1FE	A42_02_1FE	A43_02_1FE	A44_01_1FE	A45_02_1FE	A46_01_1FE	A46_02_1FE	A47_01_1FE	A47_02_1FE	A48_01_1FE	A48_05_1FE	A49_01_1FE	A53_01_1FE	A54_02_1FE	A55_01_1FE	A55_02_1FE	A56_01_1FE	A58_01_1FE	A58_03_1FE	A59_01_1FE	A62_01_1FE	A62_03_1FE	A66_02_1FE	A67_01_1FE	A68_01_1FE	A69_01_1FE	A69_02_1FE	A70_01_1FE	A70_03_1FE	A70_04_1FE	A72_01_1FE	A72_02_1FE	A73_01_1FE	A73_02_1FE	A75_02_1FE	A79_02_1FE	A81_01_1FE	A81_03_1FE	A82_02_1FE	A83_02_1FE	A85_01_1FE	A88_02_1FE	A89_01_1FE	A89_02_1FE	A90_03_1FE	A90_04_1FE	A91_01_1FE	A91_02_1FE	A92_01_1FE	A93_01_1FE	A94_01_1FE	A94_02_1FE	A94_03_1FE	A95_01_1FE	V01_01_1FE	V06_02_1FE	V07_01_2FE	V07_02_2FE	V12_01_2FE	V18_02_1FE	V19_01_2FE	V19_02_2FE	V30_01_1FE	V31_01_2FE	V32_02_2FE	V36_02_2FE	V40_01_1FE	V48_03_2FE	V50_01_1FE	V50_01_2FE	V50_02_1FE	V53_02_1FE	V54_01_1FE
k__Bacteria	99.93066	100	100	99.79971	100	99.51093	100	98.16222	99.58279	100	99.51874	100	99.7813	100	99.25345	99.89561	100	99.8418	99.0234	99.74451	100	100	100	96.07909	99.8483	99.99753	100	0	99.7525	95.71086	100	99.94415	99.97766	98.95066	99.99189	99.41541	99.97465	0	96.36754	99.98855	99.90969	99.61738	99.99364	100	99.95394	100	99.81553	99.95264	99.55649	100	98.06907	99.39522	100	100	99.95655	99.39842	100	99.80463	99.92023	100	100	100	99.39039	99.64305	99.65645	100	99.83188	100	99.9775	100	99.75932	0	99.97567	99.50097	99.68458	99.9983	99.76643	91.12435	99.37896	99.96395	97.99803	99.42282	99.98331	95.02017	99.94497	99.96595	100	99.95888	99.8136	100	99.39531	99.94645	100	99.96239	99.93012	99.63325	99.99368	100	99.97563	99.98853	99.99967	98.85825	99.91227	99.92374	99.23798	100	100	99.89923	99.43519	100	100	99.98926	99.89493	99.36486	100
k__Archaea	0.06934	0	0	0.20029	0	0.48907	0	1.83778	0.41721	0	0.48126	0	0.2187	0	0.74655	0.10439	0	0.14486	0.9766	0.25549	0	0	0	3.92091	0.1517	0.00247	0	0	0.2475	4.28799	0	0.05585	0.02234	1.04934	0.00811	0.58459	0.02535	0	3.63246	0.01145	0.09031	0.38262	0.00636	0	0.04083	0	0.18447	0.04736	0.44351	0	1.93093	0.60478	0	0	0.04345	0.60158	0	0.19537	0.07977	0	0	0	0.60961	0.35695	0.34355	0	0.16812	0	0.0225	0	0.24068	0	0	0.49903	0.31542	0.0017	0.23357	8.87565	0.61503	0.03605	2.00197	0.57718	0.01669	4.97983	0.05503	0.03302	0	0.04112	0.1864	0	0.60469	0.05355	0	0.01196	0.06988	0.36675	0.00632	0	0.02437	0.01147	0.00033	1.14175	0.08773	0.07626	0.76202	0	0	0.10077	0.56481	0	0	0.01074	0.1005	0.63514	0
k__Bacteria|p__Firmicutes	34.81094	22.19941	19.32434	18.52984	29.08029	48.64254	14.62868	74.36748	52.88717	26.28067	45.31653	4.00835	34.49715	53.59546	53.50171	24.20467	47.98485	79.21607	24.04026	23.84033	44.41823	29.695	56.95481	65.71357	65.69709	51.71679	36.32782	0	62.65109	51.6378	78.36287	64.6227	45.21442	35.45244	19.87829	41.26096	29.21749	0	41.37817	36.55338	12.69671	51.56359	24.10252	30.3638	32.72743	66.21871	37.21375	37.04142	55.75645	4.19975	26.10306	47.43813	14.75958	22.32503	72.84144	39.47118	46.57422	28.77818	53.06498	56.36151	13.07556	31.7653	55.50313	25.25362	37.5295	80.11991	69.49123	53.90946	35.06389	41.29364	37.37785	0	53.48112	17.60926	55.75487	29.81427	55.77008	51.7814	54.44838	34.23704	40.01508	54.99395	53.21998	24.66021	44.82425	72.51759	60.3972	60.57576	68.82318	50.39018	71.80754	24.78559	33.58057	47.00508	46.09504	62.99436	72.93757	48.83834	66.32625	47.39396	43.11219	44.1456	39.34294	67.54097	53.44165	34.117	15.95905	52.07267	50.33884	61.87144	38.9177	27.24405	43.23801	30.31012	43.02488
k__Bacteria|p__Tenericutes	26.6741	0.78459	0	1.10574	0.11203	0.09834	0.87279	0.35445	0.17324	0	2.66905	0	0.44778	0.00804	0.57606	0.01416	0	0.81302	0.24517	0	0.69573	22.17891	18.16459	0	0.28466	12.53838	0.23541	0	1.92862	0.5564	0.04479	0.80511	0.00148	0.11193	7.8762	1.34098	0	0	0	8.73459	2.38852	0.05182	0.51673	8.74057	2.00167	0	0.01938	0.36021	0.28726	0.02109	0.14789	0.86921	5.06421	6.34662	0.06876	0	1.2028	12.43895	0.21779	16.68848	51.68385	0.0138	0.04629	0.48971	0.48618	0.01853	0.00622	0.14745	37.46177	0.05857	7.00542	0	0.414	0.01695	3.10835	0.00338	0.25201	0.64002	0.12688	8.51514	0.08444	0	0.9668	0.51238	1.19643	3.73206	0.37914	6.73319	0.60516	3.16053	0.05381	0	2.33955	0.1692	0.29885	0.30202	0	0	1.07932	4.83372	5.14228	0.98609	0.01704	3.15323	0.04738	0.44528	0	0.68616	1.77814	0.14429	0.06591	1.06237	3.19938	2.43483	0.00023
k__Bacteria|p__Bacteroidetes	17.89555	12.96655	14.14035	30.00545	50.82718	14.3553	84.25778	13.29708	17.50292	9.20129	3.29362	5.68654	18.43194	3.82308	13.67938	40.49222	6.85617	18.90228	8.61912	42.46245	19.24762	29.53121	20.52659	4.93345	15.32134	29.55242	45.29453	0	21.6866	7.72948	7.1488	21.96931	38.69082	2.12364	69.96048	28.0771	41.71527	0	4.18549	37.5023	4.72277	10.23913	24.46852	11.90501	41.4458	5.79943	45.89891	55.97537	8.70971	2.99972	1.89749	24.29931	9.2478	69.68633	18.08232	30.77089	48.98327	3.19293	20.49763	20.36348	10.04287	16.03899	16.42997	9.48209	13.38625	8.1042	0.40823	7.21806	14.10404	40.9085	45.93943	0	44.66495	40.46799	28.92927	11.33746	34.67572	4.53196	16.43035	22.24454	4.65401	2.7026	34.44125	2.11529	30.49151	17.93802	13.3647	16.90047	22.36271	42.07194	4.27322	4.98648	53.24942	35.41591	36.61523	11.55026	5.01503	18.67287	25.85146	27.4867	49.29726	3.42065	39.61462	13.4659	23.35341	37.17339	0.34549	13.67063	24.30907	12.06344	23.98348	6.41292	31.28417	5.59706	22.10724
k__Bacteria|p__Proteobacteria	10.76718	60.27782	61.19689	44.76412	13.66081	31.13009	0.24075	5.57521	23.66635	61.90619	38.81208	89.48852	30.07426	31.57884	9.86097	31.49447	21.25161	0.86899	22.59277	28.34727	34.60139	18.17024	2.80854	3.28879	14.67208	2.18027	12.15644	0	6.16619	19.77093	5.39287	7.55222	14.29666	45.4388	1.61383	12.57646	25.7416	0	33.09666	7.90828	68.24338	13.62181	48.22841	30.48448	19.78593	12.18331	10.54099	2.75205	28.37079	87.87826	51.31807	24.86183	62.9519	1.05392	5.39776	21.66287	2.63702	9.03432	9.75147	4.33903	14.36172	36.59673	18.24338	59.94188	38.00047	4.07001	22.44448	9.32099	11.88263	15.38527	2.98616	0	1.05979	29.4491	3.72942	52.09538	2.01025	17.55006	17.92937	26.61823	33.44768	15.78639	4.57759	59.77831	19.02023	3.22717	20.08986	9.5844	3.14142	2.91387	9.15953	64.79443	8.70882	11.12698	16.2975	6.20266	18.26164	26.8408	1.252	15.77263	1.98614	43.12995	18.45282	3.37455	15.90396	24.02759	80.4475	30.82156	17.84088	4.97103	25.11185	56.16125	11.50416	47.22363	32.98977
k__Bacteria|p__Actinobacteria	9.76793	1.25737	4.712	0.73492	0.70716	4.19085	0	2.5576	1.66389	1.08412	9.27668	0.0846	2.29921	10.85308	21.34436	3.56469	3.51503	0.02524	4.99085	5.09446	0.99262	0.42389	1.12085	5.74075	3.42397	4.00967	0.09456	0	1.52932	13.46417	8.51999	1.70974	1.59582	7.40809	0.66309	10.28005	3.30029	0	6.03025	0.51248	10.5744	2.47841	1.40042	18.50139	0.32229	15.7805	0.36837	2.22854	2.01173	0.18682	2.28663	1.51192	1.32404	0.52188	0.32036	3.49538	0.59777	5.89349	1.86638	1.24062	10.76347	3.26662	2.6378	4.03475	7.66443	3.93819	5.26654	29.12675	1.41841	1.75511	2.12648	0	0.27741	0.75841	1.24763	3.21543	1.93989	8.40981	1.82412	1.64749	12.75567	25.79396	6.61157	5.45994	1.04716	0.40477	2.57443	3.15581	2.98891	0.27948	8.02867	5.17903	0.24223	5.52113	0.405	4.04463	3.14894	5.11198	0.82595	0.5151	0.29934	3.06701	2.18222	3.03771	6.1019	3.80164	2.54537	0.28607	4.51291	20.85302	5.92385	3.71375	1.62568	13.79446	1.84204
k__Archaea|p__Candidatus_Thermoplasmatota	0.06934	0	0	0	0	0	0	0	0.3927	0	0	0	0	0	0	0.0423	0	0	0.68151	0	0	0	0	0.03668	0.01551	0	0	0	0.11657	0.006	0	0.03253	0	0.39459	0	0.06773	0.0014	0	0	0	0	0.18062	0	0	0	0	0.04306	0	0.16166	0	0	0	0	0	0.03103	0	0	0	0.0496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017	0	0	0	0	0	0.17234	0	0.09546	0	0	0	0.03656	0.09932	0	0	0	0	0.01196	0.06988	0.33668	0	0	0	0	0	0	0.03002	0	0	0	0	0	0	0	0	0.01074	0.01717	0.00176	0
k__Bacteria|p__Lentisphaerae	0.01015	0	0	0	0	0	0	0.01255	2.32048	0	0	0	1.27687	0	0.06428	0.00021	0.0769	0	4.29639	0	0.0444	0	0	1.78753	0.09831	0	0	0	0.01228	2.37287	0.01338	0	0	0.67324	0	0	0	0	2.65002	0.15101	0.02207	4.37633	0	0	0.2561	0	0	0	0.08949	0	9.56661	0	0.20248	0	0	0.03703	0	0.01265	0.00418	0	0	0	0.15729	0.42921	2.4679	0	1.45338	0	0	0.09963	0.00923	0	0	0.0279	0.0437	0.19791	0.02011	2.86715	0.2851	1.10606	3.10546	0.08466	0	0.24098	1.25721	0.02813	0	0.02111	0.32967	0	0.06216	0	0	0.00033	0.10242	0.00875	0.59235	0.07135	0	0.401	0.07285	2.09781	0	0.07792	0.12874	0	0.01226	0.02274	0.12212	0	0	0	0.06702	0.00048	0
k__Bacteria|p__Fusobacteria	0.00481	0	0	0.0026	0	1.05709	0	0	0	0	0	0	0	0	0.00228	0	0	0	0	0	0	0.00075	0	0.07096	0	0	0.00239	0	0	0	0	0	0	0	0	0	0	0	0	0.10663	0	0	0	0	0	0	0	0	0.02572	0	0	0	0	0	0	0	0.00262	0	0	0	0	0	0	0	0	0	0.01567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02139	0	0	0	0	0.08461	0	0.14438	0	0	0	0	0	0	0	0	0	0	0	0.24569	0	0	0.00704	0	0.00327	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia	28.60926	8.88704	14.7893	13.44062	23.30847	36.28914	13.50133	53.67726	23.14058	23.11886	12.03232	2.56086	15.52789	18.78263	34.05673	13.86491	43.04239	70.3424	14.76585	16.20846	14.08606	19.70696	50.49488	34.44765	27.79562	34.22214	33.51003	0	48.97776	26.3132	44.92136	34.94215	35.26351	12.19413	16.24808	16.70092	20.77196	0	24.96083	20.0339	6.65215	34.03048	20.3867	22.70149	18.36811	32.15036	25.96193	24.31488	32.51591	2.78694	13.94052	23.89445	7.79515	19.9532	62.56476	27.89771	38.66535	13.42577	41.68128	47.0891	7.39632	22.46291	26.75593	13.19357	25.55237	61.47998	14.52016	49.49478	24.20175	35.52031	16.1674	0	39.46297	12.13985	41.06286	22.66663	41.96924	20.346	41.20846	20.66321	14.52889	38.15397	20.8573	7.75562	31.29685	61.45807	44.03357	47.95117	33.48237	46.28145	39.43558	12.81334	29.12092	34.53881	36.34852	45.46547	11.84109	41.68596	27.12217	21.20987	36.67357	23.04816	33.97609	52.26387	40.01877	21.10312	12.22983	33.34972	32.9573	35.69222	16.58871	16.63332	29.52965	19.72075	31.14278
k__Bacteria|p__Tenericutes|c__CFGB343	26.42158	0.597	0	1.10287	0	0	0.87279	0.03881	0	0	2.66905	0	0	0.00804	0.54988	0.00064	0	0.81302	0.20621	0	0.69573	22.01558	18.1545	0	0.03318	12.52172	0	0	0.73021	0.36894	0	0	0.00148	0	7.8762	1.2915	0	0	0	8.71793	0	0	0	8.72551	0	0	0.00875	0	0.06288	0	0.14789	0	4.57585	6.34662	0	0	0	12.40926	0	0	51.68385	0.00396	0	0.48971	0.48618	0	0.00622	0	37.46177	0.05857	6.7455	0	0	0	2.97719	0	0.23184	0.00714	0	6.41739	0	0	0.9668	0.41898	1.1664	3.40471	0	6.73319	0.00424	0	0.00247	0	2.3351	0	0.01788	0	0	0	0	0.00491	5.02	0.75834	0	0	0.02358	0.41319	0	0.02725	1.23083	0	0.06591	0.78887	3.1258	2.43483	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	15.93773	12.76231	14.03543	29.7004	50.34966	14.16531	80.74709	8.46066	3.80102	9.0073	2.42423	5.57258	12.60696	3.82097	13.0465	38.72139	6.85434	18.6847	8.2772	42.46245	18.52777	28.41915	19.90988	4.29148	13.65961	29.39929	45.03319	0	15.91723	6.30734	7.09899	10.89018	38.32838	1.2349	69.55312	21.81482	40.91052	0	3.8764	20.86398	4.67569	9.12482	24.25146	9.25454	37.22661	5.64497	42.08495	49.84005	3.15196	2.84197	1.37198	17.14931	8.49874	68.76043	15.73451	30.01612	48.98327	3.18081	15.43298	20.36348	10.04287	15.53538	15.71887	9.10779	12.88741	5.29508	0.37352	6.97062	13.21998	39.78117	32.76726	0	44.61825	39.09837	16.63373	9.03574	22.03242	1.98811	14.25641	18.74203	1.59012	1.89072	33.03644	0.92321	22.56515	13.83687	13.36071	12.37525	13.84953	40.18969	3.9688	4.20125	51.61868	33.30561	28.20955	11.25545	4.79866	10.50635	9.36149	8.98174	46.48761	2.86364	39.48369	9.0228	22.68932	36.77398	0.34549	10.77338	23.59773	7.96264	23.47069	6.28937	27.23802	4.94623	21.98238
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	5.76474	56.89012	56.87426	42.60735	9.1531	17.4399	0.24075	1.12579	13.30661	60.43794	37.83773	86.52593	10.86532	31.03892	7.93507	29.79721	17.53197	0.81431	18.42402	26.80179	33.53288	16.56129	2.06914	2.25185	9.00024	0.9103	9.28589	0	3.60014	16.4407	3.9883	5.57754	12.69611	38.26257	0.70968	10.57719	21.65726	0	26.06121	5.45885	67.61894	9.97847	45.72056	29.99421	16.75133	10.23626	10.06396	1.9554	25.00636	84.69115	50.68196	23.49426	58.16159	0.27675	3.73712	17.60422	0.54088	5.35965	7.32638	0.01351	14.2041	18.60829	15.40526	59.2233	36.90949	0.13645	19.49349	7.58951	9.1163	13.92405	1.50238	0	0.27757	26.32289	2.24784	51.27812	0.12389	15.95054	4.51661	20.48132	12.5144	14.06288	4.0403	57.49407	17.46458	1.95169	14.91944	7.11665	1.29788	0.50536	5.20613	59.06675	7.30394	9.01509	12.93885	4.11226	18.11703	22.81113	0.21446	10.85643	1.56969	33.57899	7.7479	1.70773	12.19918	21.97492	59.84488	27.10312	16.52905	1.72887	23.22336	4.4761	10.68951	46.70911	30.32313
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	5.32254	1.02521	3.02103	0.6452	0.59095	3.88018	0	2.18217	0.47072	1.02089	5.65739	0.06556	2.13053	6.49362	15.08758	2.5375	2.66704	0.02524	1.91094	3.68914	0.56607	0.14146	0.31869	5.50782	1.71168	0.49469	0.09045	0	0.69807	6.43983	7.8827	1.06258	0.43605	4.45374	0.35941	3.32967	1.13416	0	5.3033	0.15687	2.9701	2.25428	1.22992	4.73946	0.14067	10.95595	0.33413	1.85419	1.4458	0.16777	1.97524	1.45125	1.2278	0.38661	0.18338	2.6213	0.05358	2.45177	1.72098	1.1779	7.51517	3.17875	2.00714	3.55538	5.78464	2.47111	4.86172	1.34245	0.76534	1.12614	1.13078	0	0.18514	0.68922	0.95993	2.80205	1.56928	7.2595	1.00778	1.46095	8.73904	13.56483	3.13469	2.49819	0.82207	0.19987	2.11024	1.22991	1.71428	0.27456	7.44902	5.00123	0.18741	0.91439	0.04517	3.09493	2.55283	4.47603	0.42054	0.21522	0.18809	2.28635	1.16057	1.70637	2.20804	1.81867	1.36201	0.11975	2.34544	13.16536	4.72109	0.7936	0.37521	10.70216	1.57516
k__Bacteria|p__Actinobacteria|c__Actinomycetia	4.04698	0.23216	1.41485	0.06482	0.11048	0.02471	0	0.07789	1.17241	0.00724	3.49168	0.01485	0.10947	3.54262	6.0192	1.01186	0.01625	0	0.06668	0.575	0.32228	0.217	0.49077	0.02064	0.96653	3.51498	0	0	0.43098	3.5896	0.52026	0.30893	0.42554	0.36938	0.30369	0.77764	1.50712	0	0.04305	0.33321	7.49864	0.04842	0.09789	13.76193	0.18163	4.41198	0.03424	0.32131	0.13534	0.01778	0.24166	0	0.01554	0.12482	0.07849	0.09883	0.49369	3.43959	0.0193	0	3.23862	0.01384	0.17787	0.40908	1.66515	0.61137	0.05874	0.05213	0.54094	0.22625	0.86759	0	0.09227	0.06046	0.12024	0.38099	0.01905	1.01195	0.19849	0.17106	0.31937	11.11631	3.08605	2.80869	0.05394	0.16487	0.01577	1.84078	0.36005	0.00217	0.09123	0.13115	0.04121	3.92162	0.33686	0.42559	0.44691	0.11259	0.38197	0.29988	0.10245	0.1529	0.01711	0.05943	1.56424	1.44509	0.47245	0.16633	0.35038	6.71481	0.52188	2.26526	1.22605	2.41761	0.0293
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	3.7031	0.06231	0	0.91704	0.50321	1.29497	0	2.32923	0.02005	0.05776	0.02988	0.02612	0.31568	0	0.60671	0.76426	1.82625	0	0.55192	0.53284	0.55069	0.29105	0.29315	0.1301	0.68714	0.01333	0.06048	0	0.2525	1.78577	1.18562	0.02653	0.34595	1.65676	0.01294	0.10298	1.32875	0	0.98929	0.01974	0.25641	0.70365	0.2351	0.20359	0	0.03855	0.03384	0.10097	0.18434	0.05372	0.41378	0.30385	0.37128	0.16739	0.0617	1.19771	0.66767	0.04433	0.09607	0.56577	0.12569	0.31261	0.55575	0.50466	0.80027	1.26444	0.0426	0.35278	0.66167	0.84211	0.05013	0	0.07993	0.36952	0.0191	0.01232	0.68534	0.42107	0.56678	0.20321	6.56893	0.64464	0.28707	0.50955	0.28167	0.06218	0.26526	0.322	0.28292	1.08269	0.26746	0.0817	0.01049	1.03847	0.03219	0.42272	0.11691	0.07516	0	0.02172	0.13194	0.11168	0.56237	0.18911	1.36526	0.41334	0.04298	0.50105	0.98374	0.05967	0.58948	0.21075	0.44702	0.39631	2.04661
k__Bacteria|p__Firmicutes|c__Negativicutes	3.68718	9.27218	3.01261	2.12475	1.29077	1.62457	0	2.22392	0.8387	1.5059	0.65225	0.83259	1.32977	2.97493	6.05968	1.30128	2.19221	0.28888	4.36146	4.59593	0.52689	4.60135	4.30618	4.74413	8.8637	14.55005	0.83129	0	4.92549	1.31259	16.67626	0.57176	7.80723	8.62347	1.6663	9.66869	5.75822	0	2.93193	0.80153	2.97042	3.37292	2.09483	1.4913	0.11188	12.40619	1.28809	6.69431	0.46244	0.86385	3.33788	7.60639	2.8454	0.82268	0.89733	4.3709	3.83861	11.14034	1.33955	5.9495	2.01389	5.5236	4.23962	4.15133	1.41221	8.31088	0.55805	1.20935	3.74983	2.01241	2.18234	0	2.49068	1.64504	1.8157	2.64882	7.56802	5.83841	1.6545	0.10776	5.17366	4.9878	6.55121	0.86862	1.42127	0.31835	1.63105	2.12959	0.52062	0.37136	6.17498	1.86272	0.15831	1.90248	0.109	0.68297	1.4217	0.88656	0.10866	0.05209	0.46963	3.69264	1.49726	0.86329	2.34493	5.33198	0.72771	1.97307	2.15429	4.59435	20.29251	7.65101	2.75428	2.59242	0.51017
k__Bacteria|p__Bacteroidetes|c__CFGB629	1.9557	0	0	0.00385	0.12353	0	0	0.06355	0.02588	0.00706	0.00011	0.00127	0.18831	0.0021	0.00126	0	0	0.02736	0	0	0.03142	0	0	0.02488	0.01264	0.02735	0.25611	0	0.64197	0.06248	0	0.20089	0.05331	0.01043	0.29553	0.15803	0.02842	0	0.0202	0.01194	0.00184	0	0	0.00655	1.45892	0.00892	0.13063	0.08223	0	0	0	0.17726	0.04891	0.1491	0.08707	0.01952	0	0	0.41468	0	0	0.04587	0.00619	0	0.01131	2.40657	0	0.23839	0.18262	0.12829	0.86081	0	0	0.01451	0.16365	0.08522	0.14238	0.00415	0.21508	0.14452	0	0.04748	0.00775	0	0	0.25993	0	0.18467	0.10526	1.88225	0.00261	0	0.5651	0.03962	1.09536	0.08428	0.00928	4.39383	0.13496	0.09077	0.2874	0.05168	0.00987	0.29687	0.03247	0.02117	0	0	0.0137	0	0.09009	0.10838	0.11922	0	0.05099
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.29934	0.32922	3.97266	1.09399	1.13282	12.39521	0	1.26847	0.60622	1.22997	0.22371	0.15421	0.8115	0.53991	1.18686	0.84698	1.88922	0.05468	3.43514	0.32049	0.12773	0.21092	0.43977	0.68437	0.26606	1.25664	0.13365	0	2.29747	1.32187	0.05974	0.88033	1.25085	1.22513	0.89122	1.79364	2.60442	0	0.01746	0.83031	0.36803	0.13006	2.26773	0.25526	1.86884	0.21436	0.44319	0.67077	3.10271	0.70864	0.22233	1.04128	1.39964	0.30891	0.29383	1.24492	1.09302	3.06541	0.61173	3.74142	0.03193	16.62734	0.761	0.21391	0.26668	2.40048	0.02247	0.21232	0.04697	0.34804	0.75846	0	0.1967	0.25839	1.39761	0.34436	1.17962	0.97958	0.84045	2.29525	13.22343	0.74017	0.25022	0.23914	0.39729	0.61763	1.49469	1.67752	1.28042	0.12346	0.19405	0.44532	0.79215	0.84132	3.32145	1.41513	0.02525	0.64319	0.80953	1.62894	0.22698	0.59543	1.41424	0.39345	2.27138	1.60776	1.04923	0.89875	0.21234	0.15285	0.99787	0.27558	0.33639	0.11822	0.23612
k__Bacteria|p__Firmicutes|c__Bacilli	1.12263	1.46493	0.48523	0.82956	0.98021	1.02471	0	12.69503	2.81371	0.57897	28.21306	0.14014	8.49447	6.85208	6.23433	2.28676	0.9845	0.58279	1.2746	1.73675	28.08882	4.4485	1.19478	3.12885	18.11663	0.51827	0.96607	0	4.93148	9.86292	10.86293	6.83901	0.28417	2.75454	0.3956	9.53353	0.8418	0	2.57577	3.62565	0.81095	5.47949	0.36284	3.90546	2.57132	11.8696	2.86643	0.93248	12.01832	0.18517	3.07001	10.37826	1.87582	0.31673	3.46861	3.02497	1.50984	1.90629	3.01905	0.58734	0.26716	0.40778	18.8087	4.71418	5.93182	0.2757	50.64826	2.12275	4.35469	1.78836	2.85274	0	2.53061	0.46244	4.01	2.55772	2.26435	8.36922	3.208	2.84134	7.77875	5.51875	23.71865	3.63743	2.87418	2.65083	4.7857	1.98525	6.86654	0.35247	6.27172	1.20516	0.31578	3.96355	1.52578	1.75938	57.36206	0.83115	5.23276	3.78092	0.76198	7.99347	0.94484	3.94515	2.33974	3.40497	0.83356	4.60307	8.53474	8.12477	0.122	0.64111	1.06599	6.55544	8.17516
k__Bacteria|p__Firmicutes|c__CFGB14936	0.28771	0	0.06284	0.00664	0	0.09437	0	0.26278	0	0	0.00035	0	0.06921	0.00627	0.06927	0	0	1.4071	0	0	0	0.0891	0	0	0	0	0	0	0	0.09527	0.07589	0.32741	0.86008	0	0	0.00192	0.0095	0	0	0.02048	0.11811	0	0.0918	0	0.09122	0.80621	0	0	0	0	0.01795	0	0	0.00988	0.76101	0.02101	0	0.06924	0.89073	0.31811	0.08733	0.00644	0	0	0.01384	0.4011	0	0	0.2464	0.06158	0	0	0.1542	0	0.03568	0.00246	0.1894	0	0	0.01911	0	0.043	0.18403	0	0.29833	0.29039	1.07274	0.74461	0.5024	0	0	0.09766	0.54841	0.10441	0.11526	0.01791	0.01123	0.65868	0	0	1.03604	0.00174	0	0.05936	0.04169	0.1593	0.00415	0	0.5731	0	0	0	0.0088	0	0.00146
k__Bacteria|p__Tenericutes|c__CFGB1789	0.24432	0.18759	0	0.00288	0.01133	0.09834	0	0.05669	0	0	0	0	0.00728	0	0.02176	0	0	0	0.02169	0	0	0.00705	0.01009	0	0	0.01666	0.22592	0	0.0861	0.07045	0	0.0825	0	0.03565	0	0.00185	0	0	0	0.01667	0	0.01622	0	0	0.08921	0	0.01062	0.32697	0.08962	0.02109	0	0.48272	0.48167	0	0.02848	0	1.2028	0.02969	0.01683	16.68848	0	0.00985	0.02473	0	0	0	0	0.14745	0	0	0.25886	0	0.24464	0.00021	0.13116	0	0.01235	0.0001	0.03955	0	0	0	0	0	0.03004	0.32736	0.3045	0	0.13788	3.07412	0	0	0	0.14928	0	0.15701	0	0	0.03401	0.02232	0	0.00998	0.01704	0.11013	0.0238	0.0321	0	0.01007	0.01133	0	0	0.12974	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2932	0.21563	0	0	0.00122	0	0	0	0.01134	0.92464	0	0	0	0.02222	0	0	0	0	0	0	0	0	0.00067	0	0.02653	0.02088	0	0.00198	0	0	0.07406	0	0.18977	0	0.00149	0	0.02723	0	0	0	0.06751	0	0.00026	0	0.0073	0.36755	0.05399	0	0.00202	0.01237	0	0.00434	0	0	0	0.05343	0	0	0.12905	0.02942	0	0	0	0	0	0.01825	0	0.02609	0.00427	0.01482	0	0	0	0.1162	0	0.08306	0.00683	0.00205	0.16845	0.00863	0.06965	0	0.00398	0	0.06168	0.23037	0.14918	0.00712	0.07855	0.12769	0	0.08435	0	0.0267	0.01939	0.06164	0.00341	0.00041	0	0.33032	0.65361	0.04138	0.11527	0	0.00795	0.00253	0.00867	0	0.102	0.00162	0	0	0	0.30995	0	0
