"sample_id","sample_id_metaphlan","subject_id","study_readable","species","sex","age","weight","antibiotics","medications","Hill's/Public","Facility/Household"
"SRS014948","SRS014948","SRS014948","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1054691","SRS1054691","SRS1054691","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS045004","SRS045004","SRS045004","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS016517","SRS016517","SRS016517","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS050752","SRS050752","SRS050752","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS011586","SRS011586","SRS011586","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS011239","SRS011239","SRS011239","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS015782","SRS015782","SRS015782","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS054956","SRS054956","SRS054956","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS043667","SRS043667","SRS043667","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS064662","SRS064662","SRS064662","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS013521","SRS013521","SRS013521","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS014235","SRS014235","SRS014235","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS022713","SRS022713","SRS022713","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS043768","SRS043768","SRS043768","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS063489","SRS063489","SRS063489","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS893383","SRS893383","SRS893383","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS020233","SRS020233","SRS020233","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS019381","SRS019381","SRS019381","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS013215","SRS013215","SRS013215","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS046068","SRS046068","SRS046068","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1041118","SRS1041118","SRS1041118","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS051610","SRS051610","SRS051610","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS048262","SRS048262","SRS048262","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS014998","SRS014998","SRS014998","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS019428","SRS019428","SRS019428","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS019638","SRS019638","SRS019638","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS011271","SRS011271","SRS011271","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS013687","SRS013687","SRS013687","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS045324","SRS045324","SRS045324","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS057049","SRS057049","SRS057049","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS055017","SRS055017","SRS055017","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS011061","SRS011061","SRS011061","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS015190","SRS015190","SRS015190","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS016203","SRS016203","SRS016203","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS1041094","SRS1041094","SRS1041094","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS014979","SRS014979","SRS014979","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS893279","SRS893279","SRS893279","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS019267","SRS019267","SRS019267","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS053335","SRS053335","SRS053335","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS016989","SRS016989","SRS016989","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS893231","SRS893231","SRS893231","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS011302","SRS011302","SRS011302","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS016629","SRS016629","SRS016629","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS012273","SRS012273","SRS012273","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS017103","SRS017103","SRS017103","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS022137","SRS022137","SRS022137","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS075773","SRS075773","SRS075773","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS065176","SRS065176","SRS065176","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS893373","SRS893373","SRS893373","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS046502","SRS046502","SRS046502","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS042893","SRS042893","SRS042893","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS893252","SRS893252","SRS893252","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS016840","SRS016840","SRS016840","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS053398","SRS053398","SRS053398","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS1041113","SRS1041113","SRS1041113","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS050974","SRS050974","SRS050974","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS013098","SRS013098","SRS013098","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS075984","SRS075984","SRS075984","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS011452","SRS011452","SRS011452","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS015912","SRS015912","SRS015912","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS098061","SRS098061","SRS098061","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS017622","SRS017622","SRS017622","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS075716","SRS075716","SRS075716","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS016095","SRS016095","SRS016095","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS893292","SRS893292","SRS893292","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS019178","SRS019178","SRS019178","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS014855","SRS014855","SRS014855","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS049712","SRS049712","SRS049712","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS020869","SRS020869","SRS020869","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS064757","SRS064757","SRS064757","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS020271","SRS020271","SRS020271","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS013940","SRS013940","SRS013940","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1055043","SRS1055043","SRS1055043","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
