"sample_id","sample_id_metaphlan","subject_id","study_readable","species","sex","age","weight","antibiotics","medications","Hill's/Public","Facility/Household"
"ERR4183468","ERR4183468",NA,"Allaway et al.","dog","Female",1,NA,NA,NA,"Public","Facility"
"ERR4183470","reERR4183470",NA,"Allaway et al.","dog","Female",1,NA,NA,NA,"Public","Facility"
"ERR4183471","ERR4183471",NA,"Allaway et al.","dog","Female",1,NA,NA,NA,"Public","Facility"
"ERR4183473","reERR4183473",NA,"Allaway et al.","dog","Female",1,NA,NA,NA,"Public","Facility"
"ERR4183474","reERR4183474",NA,"Allaway et al.","dog","Female",1,NA,NA,NA,"Public","Facility"
"ERR4183475","ERR4183475",NA,"Allaway et al.","dog","Female",1,NA,NA,NA,"Public","Facility"
"ERR4183477","reERR4183477",NA,"Allaway et al.","dog","Female",1,NA,NA,NA,"Public","Facility"
"ERR4183478","ERR4183478",NA,"Allaway et al.","dog","Female",1,NA,NA,NA,"Public","Facility"
"ERR4183480","ERR4183480",NA,"Allaway et al.","dog","Female",1,NA,NA,NA,"Public","Facility"
"ERR4183482","ERR4183482",NA,"Allaway et al.","dog","Female",1,NA,NA,NA,"Public","Facility"
"ERR4183484","ERR4183484",NA,"Allaway et al.","dog","Female",1,NA,NA,NA,"Public","Facility"
"ERR4183486","ERR4183486",NA,"Allaway et al.","dog","Female",1,NA,NA,NA,"Public","Facility"
"ERR4183488","ERR4183488",NA,"Allaway et al.","dog","Female",1,NA,NA,NA,"Public","Facility"
"ERR4183490","reERR4183490",NA,"Allaway et al.","dog","Female",1,NA,NA,NA,"Public","Facility"
"ERR4183491","ERR4183491",NA,"Allaway et al.","dog","Female",1,NA,NA,NA,"Public","Facility"
"ERR4183493","ERR4183493",NA,"Allaway et al.","dog","Female",1,NA,NA,NA,"Public","Facility"
"ERR4183495","ERR4183495",NA,"Allaway et al.","dog","Female",1,NA,NA,NA,"Public","Facility"
"ERR4183497","reERR4183497",NA,"Allaway et al.","dog","Female",1,NA,NA,NA,"Public","Facility"
"ERR4183498","reERR4183498",NA,"Allaway et al.","dog","Female",1,NA,NA,NA,"Public","Facility"
"ERR4183499","reERR4183499",NA,"Allaway et al.","dog","Female",1,NA,NA,NA,"Public","Facility"
"SAMEA103957793","SAMEA103957793","Boron.8816","Coelho et al.","dog","Male",3.15,NA,"Yes",NA,"Public","Facility"
"SAMEA103957794","SAMEA103957794","Jeb","Coelho et al.","dog","Male",7.97,NA,"No",NA,"Public","Facility"
"SAMEA103957795","SAMEA103957795","Boron.8815","Coelho et al.","dog","Male",3.15,NA,"No",NA,"Public","Facility"
"SAMEA103957796","SAMEA103957796","Boron.8815","Coelho et al.","dog","Male",3.15,NA,"No",NA,"Public","Facility"
"SAMN06172400","SAMN06172400","Ash","Coelho et al.","dog","Male",4.49,NA,"No",NA,"Public","Facility"
"SAMN06172401","SAMN06172401","Ash","Coelho et al.","dog","Male",4.49,NA,"No",NA,"Public","Facility"
"SAMN06172402","SAMN06172402","Avalanche","Coelho et al.","dog","Female",1.54,NA,"No",NA,"Public","Facility"
"SAMN06172403","SAMN06172403","Avalanche","Coelho et al.","dog","Female",1.54,NA,"No",NA,"Public","Facility"
"SAMN06172404","SAMN06172404","Bandit","Coelho et al.","dog","Male",8.78,NA,"No",NA,"Public","Facility"
"SAMN06172405","SAMN06172405","Bandit","Coelho et al.","dog","Male",8.78,NA,"No",NA,"Public","Facility"
"SAMN06172406","SAMN06172406","Belle","Coelho et al.","dog","Female",7.81,NA,"No",NA,"Public","Facility"
"SAMN06172407","SAMN06172407","Belle","Coelho et al.","dog","Female",7.81,NA,"No",NA,"Public","Facility"
"SAMN06172408","SAMN06172408","Bissell","Coelho et al.","dog","Female",10.29,NA,"No",NA,"Public","Facility"
"SAMN06172409","SAMN06172409","Bissell","Coelho et al.","dog","Female",10.29,NA,"No",NA,"Public","Facility"
"SAMN06172410","SAMN06172410","Briea","Coelho et al.","dog","Female",10.57,NA,"No",NA,"Public","Facility"
"SAMN06172411","SAMN06172411","Briea","Coelho et al.","dog","Female",10.57,NA,"No",NA,"Public","Facility"
"SAMN06172412","SAMN06172412","Burrito","Coelho et al.","dog","Male",4.01,NA,"No",NA,"Public","Facility"
"SAMN06172413","SAMN06172413","Burrito","Coelho et al.","dog","Male",4.01,NA,"No",NA,"Public","Facility"
"SAMN06172414","SAMN06172414","Cam","Coelho et al.","dog","Male",8.75,NA,"No",NA,"Public","Facility"
"SAMN06172415","SAMN06172415","Cam","Coelho et al.","dog","Male",8.75,NA,"No",NA,"Public","Facility"
"SAMN06172416","SAMN06172416","Carbon","Coelho et al.","dog","Male",10.57,NA,"No",NA,"Public","Facility"
"SAMN06172417","SAMN06172417","Carbon","Coelho et al.","dog","Male",10.57,NA,"No",NA,"Public","Facility"
"SAMN06172418","SAMN06172418","Charlie","Coelho et al.","dog","Male",10.07,NA,"No",NA,"Public","Facility"
"SAMN06172419","SAMN06172419","Charlie","Coelho et al.","dog","Male",10.07,NA,"No",NA,"Public","Facility"
"SAMN06172420","SAMN06172420","Cinder","Coelho et al.","dog","Female",4.49,NA,"No",NA,"Public","Facility"
"SAMN06172421","SAMN06172421","Cinder","Coelho et al.","dog","Female",4.49,NA,"No",NA,"Public","Facility"
"SAMN06172422","SAMN06172422","Cobain","Coelho et al.","dog","Male",4.87,NA,"No",NA,"Public","Facility"
"SAMN06172423","SAMN06172423","Cobain","Coelho et al.","dog","Male",4.87,NA,"No",NA,"Public","Facility"
"SAMN06172424","SAMN06172424","Connie","Coelho et al.","dog","Female",7.49,NA,"No",NA,"Public","Facility"
"SAMN06172425","SAMN06172425","Connie","Coelho et al.","dog","Female",7.49,NA,"No",NA,"Public","Facility"
"SAMN06172426","SAMN06172426","Dunbar","Coelho et al.","dog","Male",7.5,NA,"No",NA,"Public","Facility"
"SAMN06172427","SAMN06172427","Dunbar","Coelho et al.","dog","Male",7.5,NA,"No",NA,"Public","Facility"
"SAMN06172428","SAMN06172428","Ed","Coelho et al.","dog","Male",4.41,NA,"No",NA,"Public","Facility"
"SAMN06172429","SAMN06172429","Ed","Coelho et al.","dog","Male",4.41,NA,"No",NA,"Public","Facility"
"SAMN06172430","SAMN06172430","Elaine","Coelho et al.","dog","Female",1.97,NA,"No",NA,"Public","Facility"
"SAMN06172431","SAMN06172431","Elaine","Coelho et al.","dog","Female",1.97,NA,"No",NA,"Public","Facility"
"SAMN06172432","SAMN06172432","Escalade","Coelho et al.","dog","Female",9.63,NA,"No",NA,"Public","Facility"
"SAMN06172433","SAMN06172433","Escalade","Coelho et al.","dog","Female",9.63,NA,"No",NA,"Public","Facility"
"SAMN06172434","SAMN06172434","Faulkner","Coelho et al.","dog","Male",6,NA,"No",NA,"Public","Facility"
"SAMN06172435","SAMN06172435","Faulkner","Coelho et al.","dog","Male",6,NA,"No",NA,"Public","Facility"
"SAMN06172436","SAMN06172436","Flurry","Coelho et al.","dog","Female",1.54,NA,"No",NA,"Public","Facility"
"SAMN06172437","SAMN06172437","Flurry","Coelho et al.","dog","Female",1.54,NA,"No",NA,"Public","Facility"
"SAMN06172438","SAMN06172438","Freddie","Coelho et al.","dog","Male",6,NA,"No",NA,"Public","Facility"
"SAMN06172439","SAMN06172439","Freddie","Coelho et al.","dog","Male",6,NA,"No",NA,"Public","Facility"
"SAMN06172440","SAMN06172440","Garnier","Coelho et al.","dog","Female",10.77,NA,"No",NA,"Public","Facility"
"SAMN06172441","SAMN06172441","Garnier","Coelho et al.","dog","Female",10.77,NA,"No",NA,"Public","Facility"
"SAMN06172442","SAMN06172442","Garth","Coelho et al.","dog","Male",2.36,NA,"No",NA,"Public","Facility"
"SAMN06172443","SAMN06172443","Garth","Coelho et al.","dog","Male",2.36,NA,"No",NA,"Public","Facility"
"SAMN06172444","SAMN06172444","Gatling","Coelho et al.","dog","Male",4.38,NA,"No",NA,"Public","Facility"
"SAMN06172445","SAMN06172445","Gatling","Coelho et al.","dog","Male",4.38,NA,"No",NA,"Public","Facility"
"SAMN06172446","SAMN06172446","George","Coelho et al.","dog","Male",2.02,NA,"No",NA,"Public","Facility"
"SAMN06172447","SAMN06172447","George","Coelho et al.","dog","Male",2.02,NA,"No",NA,"Public","Facility"
"SAMN06172448","SAMN06172448","Glacier","Coelho et al.","dog","Male",5.12,NA,"No",NA,"Public","Facility"
"SAMN06172449","SAMN06172449","Glacier","Coelho et al.","dog","Male",5.12,NA,"No",NA,"Public","Facility"
"SAMN06172450","SAMN06172450","Gold","Coelho et al.","dog","Female",3.09,NA,"No",NA,"Public","Facility"
"SAMN06172451","SAMN06172451","Gold","Coelho et al.","dog","Female",3.09,NA,"No",NA,"Public","Facility"
"SAMN06172452","SAMN06172452","Granny Smith","Coelho et al.","dog","Female",6.56,NA,"No",NA,"Public","Facility"
"SAMN06172453","SAMN06172453","Granny Smith","Coelho et al.","dog","Female",6.56,NA,"No",NA,"Public","Facility"
"SAMN06172454","SAMN06172454","Jeb","Coelho et al.","dog","Male",7.97,NA,"No",NA,"Public","Facility"
"SAMN06172455","SAMN06172455","Jenna","Coelho et al.","dog","Female",8.03,NA,"No",NA,"Public","Facility"
"SAMN06172456","SAMN06172456","Jenna","Coelho et al.","dog","Female",8.03,NA,"No",NA,"Public","Facility"
"SAMN06172457","SAMN06172457","Juniper","Coelho et al.","dog","Female",3.19,NA,"No",NA,"Public","Facility"
"SAMN06172458","SAMN06172458","Juniper","Coelho et al.","dog","Female",3.19,NA,"No",NA,"Public","Facility"
"SAMN06172459","SAMN06172459","Kenny","Coelho et al.","dog","Male",2.36,NA,"No",NA,"Public","Facility"
"SAMN06172460","SAMN06172460","Kenny","Coelho et al.","dog","Male",2.36,NA,"No",NA,"Public","Facility"
"SAMN06172461","SAMN06172461","Kit","Coelho et al.","dog","Male",4.99,NA,"No",NA,"Public","Facility"
"SAMN06172462","SAMN06172462","Kit","Coelho et al.","dog","Male",4.99,NA,"No",NA,"Public","Facility"
"SAMN06172463","SAMN06172463","Lana","Coelho et al.","dog","Female",6.72,NA,"No",NA,"Public","Facility"
"SAMN06172464","SAMN06172464","Lana","Coelho et al.","dog","Female",6.72,NA,"No",NA,"Public","Facility"
"SAMN06172465","SAMN06172465","Linus II","Coelho et al.","dog","Male",7.87,NA,"No",NA,"Public","Facility"
"SAMN06172466","SAMN06172466","Linus II","Coelho et al.","dog","Male",7.87,NA,"No",NA,"Public","Facility"
"SAMN06172467","SAMN06172467","Mack","Coelho et al.","dog","Male",2.3,NA,"No",NA,"Public","Facility"
"SAMN06172468","SAMN06172468","Mack","Coelho et al.","dog","Male",2.3,NA,"No",NA,"Public","Facility"
"SAMN06172469","SAMN06172469","Magnolia","Coelho et al.","dog","Female",3.14,NA,"No",NA,"Public","Facility"
"SAMN06172470","SAMN06172470","Magnolia","Coelho et al.","dog","Female",3.14,NA,"No",NA,"Public","Facility"
"SAMN06172471","SAMN06172471","Michael","Coelho et al.","dog","Male",2.95,NA,"No",NA,"Public","Facility"
"SAMN06172472","SAMN06172472","Michael","Coelho et al.","dog","Male",2.95,NA,"No",NA,"Public","Facility"
"SAMN06172473","SAMN06172473","Monroe","Coelho et al.","dog","Female",4.92,NA,"No",NA,"Public","Facility"
"SAMN06172474","SAMN06172474","Monroe","Coelho et al.","dog","Female",4.92,NA,"No",NA,"Public","Facility"
"SAMN06172475","SAMN06172475","Mummy","Coelho et al.","dog","Female",6.86,NA,"No",NA,"Public","Facility"
"SAMN06172476","SAMN06172476","Mummy","Coelho et al.","dog","Female",6.86,NA,"No",NA,"Public","Facility"
"SAMN06172477","SAMN06172477","Mya","Coelho et al.","dog","Female",10.05,NA,"No",NA,"Public","Facility"
"SAMN06172478","SAMN06172478","Mya","Coelho et al.","dog","Female",10.05,NA,"No",NA,"Public","Facility"
"SAMN06172479","SAMN06172479","Oklahoma","Coelho et al.","dog","Male",8.72,NA,"No",NA,"Public","Facility"
"SAMN06172480","SAMN06172480","Oklahoma","Coelho et al.","dog","Male",8.72,NA,"No",NA,"Public","Facility"
"SAMN06172481","SAMN06172481","Peterbilt","Coelho et al.","dog","Male",2.24,NA,"No",NA,"Public","Facility"
"SAMN06172482","SAMN06172482","Peterbilt","Coelho et al.","dog","Male",2.24,NA,"No",NA,"Public","Facility"
"SAMN06172483","SAMN06172483","Pinky","Coelho et al.","dog","Female",4.3,NA,"No",NA,"Public","Facility"
"SAMN06172484","SAMN06172484","Pinky","Coelho et al.","dog","Female",4.3,NA,"No",NA,"Public","Facility"
"SAMN06172485","SAMN06172485","Rahab","Coelho et al.","dog","Female",9.81,NA,"No",NA,"Public","Facility"
"SAMN06172486","SAMN06172486","Rahab","Coelho et al.","dog","Female",9.81,NA,"No",NA,"Public","Facility"
"SAMN06172487","SAMN06172487","Reba","Coelho et al.","dog","Female",2.3,NA,"No",NA,"Public","Facility"
"SAMN06172488","SAMN06172488","Reba","Coelho et al.","dog","Female",2.3,NA,"No",NA,"Public","Facility"
"SAMN06172489","SAMN06172489","Red","Coelho et al.","dog","Female",4.99,NA,"No",NA,"Public","Facility"
"SAMN06172490","SAMN06172490","Red","Coelho et al.","dog","Female",4.99,NA,"No",NA,"Public","Facility"
"SAMN06172491","SAMN06172491","Reese's","Coelho et al.","dog","Female",3.51,NA,"No",NA,"Public","Facility"
"SAMN06172492","SAMN06172492","Reese's","Coelho et al.","dog","Female",3.51,NA,"No",NA,"Public","Facility"
"SAMN06172493","SAMN06172493","Saki","Coelho et al.","dog","Female",7.28,NA,"No",NA,"Public","Facility"
"SAMN06172494","SAMN06172494","Saki","Coelho et al.","dog","Female",7.28,NA,"No",NA,"Public","Facility"
"SAMN06172495","SAMN06172495","Scooby","Coelho et al.","dog","Male",6.06,NA,"No",NA,"Public","Facility"
"SAMN06172496","SAMN06172496","Scooby","Coelho et al.","dog","Male",6.06,NA,"No",NA,"Public","Facility"
"SAMN06172497","SAMN06172497","Scrappy","Coelho et al.","dog","Male",6,NA,"No",NA,"Public","Facility"
"SAMN06172498","SAMN06172498","Scrappy","Coelho et al.","dog","Male",6,NA,"No",NA,"Public","Facility"
"SAMN06172499","SAMN06172499","Shorty","Coelho et al.","dog","Male",5.99,NA,"No",NA,"Public","Facility"
"SAMN06172500","SAMN06172500","Shorty","Coelho et al.","dog","Male",5.99,NA,"No",NA,"Public","Facility"
"SAMN06172501","SAMN06172501","Skinner","Coelho et al.","dog","Male",7.55,NA,"No",NA,"Public","Facility"
"SAMN06172502","SAMN06172502","Skinner","Coelho et al.","dog","Male",7.55,NA,"No",NA,"Public","Facility"
"SAMN06172503","SAMN06172503","Snoopy","Coelho et al.","dog","Male",7.87,NA,"No",NA,"Public","Facility"
"SAMN06172504","SAMN06172504","Snoopy","Coelho et al.","dog","Male",7.87,NA,"No",NA,"Public","Facility"
"SAMN06172505","SAMN06172505","Stewie","Coelho et al.","dog","Male",5.22,NA,"No",NA,"Public","Facility"
"SAMN06172506","SAMN06172506","Stewie","Coelho et al.","dog","Male",5.22,NA,"No",NA,"Public","Facility"
"SAMN06172507","SAMN06172507","Strait","Coelho et al.","dog","Male",5.12,NA,"No",NA,"Public","Facility"
"SAMN06172508","SAMN06172508","Strait","Coelho et al.","dog","Male",5.12,NA,"No",NA,"Public","Facility"
"SAMN06172509","SAMN06172509","Strawberry","Coelho et al.","dog","Female",9.09,NA,"No",NA,"Public","Facility"
"SAMN06172510","SAMN06172510","Strawberry","Coelho et al.","dog","Female",9.09,NA,"No",NA,"Public","Facility"
"SAMN06172511","SAMN06172511","Susan","Coelho et al.","dog","Female",2.02,NA,"No",NA,"Public","Facility"
"SAMN06172512","SAMN06172512","Susan","Coelho et al.","dog","Female",2.02,NA,"No",NA,"Public","Facility"
"SAMN06172513","SAMN06172513","Tephra","Coelho et al.","dog","Female",4.43,NA,"No",NA,"Public","Facility"
"SAMN06172514","SAMN06172514","Tephra","Coelho et al.","dog","Female",4.43,NA,"No",NA,"Public","Facility"
"SAMN06172515","SAMN06172515","Tibetan","Coelho et al.","dog","Male",4.99,NA,"No",NA,"Public","Facility"
"SAMN06172516","SAMN06172516","Tibetan","Coelho et al.","dog","Male",4.99,NA,"No",NA,"Public","Facility"
"SAMN06172517","SAMN06172517","Tim","Coelho et al.","dog","Male",2.36,NA,"No",NA,"Public","Facility"
"SAMN06172518","SAMN06172518","Tim","Coelho et al.","dog","Male",2.36,NA,"No",NA,"Public","Facility"
"SAMN06172519","SAMN06172519","Trix","Coelho et al.","dog","Female",8.44,NA,"No",NA,"Public","Facility"
"SAMN06172520","SAMN06172520","Trix","Coelho et al.","dog","Female",8.44,NA,"No",NA,"Public","Facility"
"SAMN06172521","SAMN06172521","Uncle Jesse","Coelho et al.","dog","Male",4.87,NA,"No",NA,"Public","Facility"
"SAMN06172522","SAMN06172522","Uncle Jesse","Coelho et al.","dog","Male",4.87,NA,"No",NA,"Public","Facility"
"SAMN06172523","SAMN06172523","Virginia","Coelho et al.","dog","Female",6.05,NA,"No",NA,"Public","Facility"
"SAMN06172524","SAMN06172524","Virginia","Coelho et al.","dog","Female",6.05,NA,"No",NA,"Public","Facility"
"F-50190384-002S_HPN1875_S219","F-50190384-002S_HPN1875_S219","7050","DietInt Study1","dog","Female",13.5,8.9,"No","Yes","Hill's","Facility"
"F-50190386-002S_HPN1875_S209","F-50190386-002S_HPN1875_S209","7185","DietInt Study1","dog","Male",11.91,9.3,"No","Yes","Hill's","Facility"
"F-50190388-002S_HPN1875_S205","F-50190388-002S_HPN1875_S205","13832","DietInt Study1","dog","Male",10.15,10.7,"No","Yes","Hill's","Facility"
"F-50190390-002S_HPN1875_S216","F-50190390-002S_HPN1875_S216","15306","DietInt Study1","dog","Female",6.02,9.4,"No","Yes","Hill's","Facility"
"F-50190392-002S_HPN1875_S185","F-50190392-002S_HPN1875_S185","13742","DietInt Study1","dog","Male",10.95,14.7,"No","Yes","Hill's","Facility"
"F-50190394-002S_HPN1875_S186","F-50190394-002S_HPN1875_S186","8272","DietInt Study1","dog","Female",13.49,8.6,"Yes","Yes","Hill's","Facility"
"F-50190396-002S_HPN1875_S195","F-50190396-002S_HPN1875_S195","15211","DietInt Study1","dog","Male",6.39,11.1,"No","Yes","Hill's","Facility"
"F-50190398-002S_HPN1875_S201","F-50190398-002S_HPN1875_S201","14703","DietInt Study1","dog","Male",8.66,14.1,"No","Yes","Hill's","Facility"
"F-50190400-002S_HPN1875_S199","F-50190400-002S_HPN1875_S199","7840","DietInt Study1","dog","Female",13.48,9.8,"No","Yes","Hill's","Facility"
"F-50190403-002S_HPN1875_S193","F-50190403-002S_HPN1875_S193","8735","DietInt Study1","dog","Female",11.15,8.9,"No","Yes","Hill's","Facility"
"F-50190405-002S_HPN1875_S202","F-50190405-002S_HPN1875_S202","7768","DietInt Study1","dog","Female",13.29,9.1,"No","Yes","Hill's","Facility"
"F-50190407-002S_HPN1875_S206","F-50190407-002S_HPN1875_S206","15096","DietInt Study1","dog","Male",5.89,13.9,"No","Yes","Hill's","Facility"
"F-50190409-002S_HPN1875_S213","F-50190409-002S_HPN1875_S213","14679","DietInt Study1","dog","Male",8.84,12.3,"No","Yes","Hill's","Facility"
"F-50190411-002S_HPN1875_S211","F-50190411-002S_HPN1875_S211","7839","DietInt Study1","dog","Male",13.5,11.3,"No","Yes","Hill's","Facility"
"F-50190413-002S_HPN1875_S200","F-50190413-002S_HPN1875_S200","15067","DietInt Study1","dog","Male",6.05,11,"No","Yes","Hill's","Facility"
"F-50190415-002S_HPN1875_S194","F-50190415-002S_HPN1875_S194","15271","DietInt Study1","dog","Male",4.9,11.2,"No","Yes","Hill's","Facility"
"F-50190417-002S_HPN1875_S212","F-50190417-002S_HPN1875_S212","14701","DietInt Study1","dog","Male",8.6,14.6,"No","Yes","Hill's","Facility"
"F-50190419-002S_HPN1875_S215","F-50190419-002S_HPN1875_S215","14709","DietInt Study1","dog","Male",8.85,10.2,"No","Yes","Hill's","Facility"
"F-50190421-002S_HPN1875_S187","F-50190421-002S_HPN1875_S187","7496","DietInt Study1","dog","Male",15.44,13.1,"No","Yes","Hill's","Facility"
"F-50190423-002S_HPN1875_S203","F-50190423-002S_HPN1875_S203","8441","DietInt Study1","dog","Male",13.49,10,"No","Yes","Hill's","Facility"
"F-50190427-002S_HPN1875_S214","F-50190427-002S_HPN1875_S214","7576","DietInt Study1","dog","Male",15.45,12.02,"No","Yes","Hill's","Facility"
"F-50190429-002S_HPN1875_S190","F-50190429-002S_HPN1875_S190","14675","DietInt Study1","dog","Male",8.85,9.7,"No","Yes","Hill's","Facility"
"F-50190431-002S_HPN1875_S191","F-50190431-002S_HPN1875_S191","13743","DietInt Study1","dog","Female",11,10.8,"No","Yes","Hill's","Facility"
"F-50190433-002S_HPN1875_S207","F-50190433-002S_HPN1875_S207","13828","DietInt Study1","dog","Male",10.21,11.9,"No","Yes","Hill's","Facility"
"F-50190435-002S_HPN1875_S197","F-50190435-002S_HPN1875_S197","14708","DietInt Study1","dog","Male",8.86,10.5,"No","Yes","Hill's","Facility"
"F-50190438-002S_HPN1875_S222","F-50190438-002S_HPN1875_S222","13742","DietInt Study1","dog","Male",11.05,14.2,"No","Yes","Hill's","Facility"
"F-50190442-002S_HPN1875_S223","F-50190442-002S_HPN1875_S223","8272","DietInt Study1","dog","Female",13.59,8.9,"No","Yes","Hill's","Facility"
"F-50190446-002S_HPN1875_S236","F-50190446-002S_HPN1875_S236","7840","DietInt Study1","dog","Female",13.58,9.7,"No","Yes","Hill's","Facility"
"F-50190450-002S_HPN1875_S245","F-50190450-002S_HPN1875_S245","7185","DietInt Study1","dog","Male",12.01,9.1,"No","Yes","Hill's","Facility"
"F-50190454-002S_HPN1875_S241","F-50190454-002S_HPN1875_S241","13832","DietInt Study1","dog","Male",10.24,10.6,"No","Yes","Hill's","Facility"
"F-50190458-002S_HPN1875_S252","F-50190458-002S_HPN1875_S252","15306","DietInt Study1","dog","Female",6.11,9.7,"No","Yes","Hill's","Facility"
"F-50190462-002S_HPN1875_S231","F-50190462-002S_HPN1875_S231","15271","DietInt Study1","dog","Male",4.99,10.9,"No","Yes","Hill's","Facility"
"F-50190466-002S_HPN1875_S248","F-50190466-002S_HPN1875_S248","14701","DietInt Study1","dog","Male",8.7,14.6,"No","Yes","Hill's","Facility"
"F-50190470-002S_HPN1875_S255","F-50190470-002S_HPN1875_S255","7050","DietInt Study1","dog","Female",13.6,8.4,"No","Yes","Hill's","Facility"
"F-50190474-002S_HPN1875_S249","F-50190474-002S_HPN1875_S249","14679","DietInt Study1","dog","Male",8.93,12.4,"No","Yes","Hill's","Facility"
"F-50190478-002S_HPN1875_S247","F-50190478-002S_HPN1875_S247","7839","DietInt Study1","dog","Male",13.59,11.4,"No","Yes","Hill's","Facility"
"F-50190482-002S_HPN1875_S237","F-50190482-002S_HPN1875_S237","15067","DietInt Study1","dog","Male",6.15,10.7,"No","Yes","Hill's","Facility"
"F-50190486-002S_HPN1875_S230","F-50190486-002S_HPN1875_S230","8735","DietInt Study1","dog","Female",11.25,8.9,"No","Yes","Hill's","Facility"
"F-50190490-002S_HPN1875_S239","F-50190490-002S_HPN1875_S239","7768","DietInt Study1","dog","Female",13.39,9,"No","Yes","Hill's","Facility"
"F-50190494-002S_HPN1875_S242","F-50190494-002S_HPN1875_S242","15096","DietInt Study1","dog","Male",5.98,13.9,"No","Yes","Hill's","Facility"
"F-50190498-002S_HPN1875_S228","F-50190498-002S_HPN1875_S228","13743","DietInt Study1","dog","Female",11.09,10.5,"No","Yes","Hill's","Facility"
"F-50190502-002S_HPN1875_S243","F-50190502-002S_HPN1875_S243","13828","DietInt Study1","dog","Male",10.31,11.3,"No","Yes","Hill's","Facility"
"F-50190506-002S_HPN1875_S234","F-50190506-002S_HPN1875_S234","14708","DietInt Study1","dog","Male",8.96,10.7,"No","Yes","Hill's","Facility"
"F-50190510-002S_HPN1875_S256","F-50190510-002S_HPN1875_S256","7437","DietInt Study1","dog","Female",13.6,8.1,"No","Yes","Hill's","Facility"
"F-50190514-002S_HPN1875_S250","F-50190514-002S_HPN1875_S250","7576","DietInt Study1","dog","Male",15.54,11.5,"No","Yes","Hill's","Facility"
"F-50190518-002S_HPN1875_S227","F-50190518-002S_HPN1875_S227","14675","DietInt Study1","dog","Male",8.94,9.6,"No","Yes","Hill's","Facility"
"F-50190522-002S_HPN1875_S251","F-50190522-002S_HPN1875_S251","14709","DietInt Study1","dog","Male",8.94,11.1,"No","Yes","Hill's","Facility"
"F-50190526-002S_HPN1875_S226","F-50190526-002S_HPN1875_S226","15310","DietInt Study1","dog","Male",6.07,14.9,"No","Yes","Hill's","Facility"
"F-50190533-002S_HPN1875_S254","F-50190533-002S_HPN1875_S254","13975","DietInt Study1","dog","Male",8.1,10.6,"No","Yes","Hill's","Facility"
"F-50190537-002S_HPN1875_S244","F-50190537-002S_HPN1875_S244","14667","DietInt Study1","dog","Male",9.9,11.5,"No","Yes","Hill's","Facility"
"F-50190541-002S_HPN1875_S225","F-50190541-002S_HPN1875_S225","7496","DietInt Study1","dog","Male",15.54,13,"No","Yes","Hill's","Facility"
"F-50190543-002S_HPN1875_S224","F-50190543-002S_HPN1875_S224","15272","DietInt Study1","dog","Female",4.99,8.9,"No","Yes","Hill's","Facility"
"F-50190547-002S_HPN1875_S235","F-50190547-002S_HPN1875_S235","15269","DietInt Study1","dog","Male",4.99,12.1,"No","Yes","Hill's","Facility"
"F-50190551-002S_HPN1875_S258","F-50190551-002S_HPN1875_S258","15346","DietInt Study1","dog","Female",5.07,9.2,"No","Yes","Hill's","Facility"
"F-50190554-002S_HPN1875_S240","F-50190554-002S_HPN1875_S240","7842","DietInt Study1","dog","Female",13.38,9.8,"No","Yes","Hill's","Facility"
"F-50190558-002S_HPN1875_S253","F-50190558-002S_HPN1875_S253","13976","DietInt Study1","dog","Male",8.1,10.7,"No","Yes","Hill's","Facility"
"F-50190562-002S_HPN1875_S257","F-50190562-002S_HPN1875_S257","14695","DietInt Study1","dog","Female",8.93,8.5,"No","Yes","Hill's","Facility"
"F-50190566-002S_HPN1875_S246","F-50190566-002S_HPN1875_S246","13841","DietInt Study1","dog","Male",10.09,8.8,"No","Yes","Hill's","Facility"
"F-50190570-002S_HPN1875_S233","F-50190570-002S_HPN1875_S233","15270","DietInt Study1","dog","Male",4.99,10.4,"No","Yes","Hill's","Facility"
"F-50190574-002S_HPN1875_S229","F-50190574-002S_HPN1875_S229","14705","DietInt Study1","dog","Male",8.93,14.2,"No","Yes","Hill's","Facility"
"F-50190578-002S_HPN1875_S218","F-50190578-002S_HPN1875_S218","13975","DietInt Study1","dog","Male",8.01,11.3,"No","Yes","Hill's","Facility"
"F-50190580-002S_HPN1875_S208","F-50190580-002S_HPN1875_S208","14667","DietInt Study1","dog","Male",9.81,12.2,"No","Yes","Hill's","Facility"
"F-50190582-002S_HPN1875_S189","F-50190582-002S_HPN1875_S189","15310","DietInt Study1","dog","Male",5.97,14.3,"No","Yes","Hill's","Facility"
"F-50190584-002S_HPN1875_S238","F-50190584-002S_HPN1875_S238","14703","DietInt Study1","dog","Male",8.75,13.9,"No","Yes","Hill's","Facility"
"F-50190588-002S_HPN1875_S232","F-50190588-002S_HPN1875_S232","15211","DietInt Study1","dog","Male",6.49,10.6,"No","Yes","Hill's","Facility"
"F-50190592-002S_HPN1875_S210","F-50190592-002S_HPN1875_S210","13841","DietInt Study1","dog","Male",9.99,8.8,"No","Yes","Hill's","Facility"
"F-50190594-002S_HPN1875_S196","F-50190594-002S_HPN1875_S196","15270","DietInt Study1","dog","Male",4.9,10.7,"No","Yes","Hill's","Facility"
"F-50190596-002S_HPN1875_S192","F-50190596-002S_HPN1875_S192","14705","DietInt Study1","dog","Male",8.84,14.3,"No","Yes","Hill's","Facility"
