"feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","reference","fdr.pval"
"Bacteroidaceae_SGB_104904","species","cat",-10.6999277798821,0.441321610246813,2989,663,2.53002316574948e-110,3.50929095578664e-108,"dog,facility",2.35491893085682e-108
"Lachnospiraceae_bacterium_SGB_4781","species","human",3.09493133764555,0.0758655786700272,2989,161,2.06804068980841e-109,3.75110765120633e-107,"cat,facility",1.87555382560316e-107
"Eubacteriaceae_SGB_71318","species","cat",-8.6069508246119,0.357160057586173,2989,938,1.21814862593785e-107,1.64136826283512e-105,"dog,facility",1.07714792248554e-105
"Roseburia_sp_AF02_12_SGB_4938","species","human",5.58571730757563,0.243349202260413,2989,193,7.3658937119362e-107,1.24062695519611e-104,"cat,facility",6.35443074612642e-105
"Bifidobacterium_longum_SGB_17248","species","cat",10.5190849951078,0.451545766369357,2989,621,1.05223594071126e-105,1.37842908233174e-103,"dog,facility",8.86132981498982e-104
"Romboutsia_timonensis_SGB_6148","species","cat",-11.2346274113507,0.467400811467256,2989,1014,2.19616507707257e-105,2.79922013607412e-103,"dog,facility",1.8064734599083e-103
"Firmicutes_SGB_13983","species","human",1.51639635170928,0.0670499316388655,2989,68,1.5672841602537e-104,1.94508213151486e-102,"dog,facility",1.25988274427667e-102
"Lachnospiraceae_bacterium_SGB_4781","species","human",3.15758325430118,0.0758439558497035,2989,161,3.96515195946825e-103,4.79478375406468e-101,"dog,facility",3.11660944014204e-101
"Oscillospiraceae_bacterium_Marseille_Q3528_SGB_4778","species","human",3.07730858072214,0.138945685385992,2989,137,2.83706163151062e-100,4.31599440458197e-98,"cat,facility",2.18145369362023e-98
"Oscillospiraceae_SGB_15229","species","human",3.37304631625005,0.084803379723894,2989,122,1.49364500418432e-99,2.13455449688887e-97,"cat,facility",1.12404731485105e-97
"Eubacterium_siraeum_SGB_4198","species","human",3.72505363586587,0.103586980113111,2989,149,3.54236692761912e-99,4.07458595869555e-97,"dog,facility",2.61028162978934e-97
"Ruminococcus_lactaris_SGB_4557","species","human",3.26265947419513,0.0844990510897377,2989,162,9.88466379693053e-99,1.37106101371542e-96,"cat,facility",7.13511343872312e-97
"Clostridium_sp_AF36_4_SGB_4644","species","human",4.14128007696871,0.0884324720757244,2989,182,1.41035453917053e-97,1.58362666826862e-95,"dog,facility",9.97684801009233e-96
"Collinsella_stercoris_SGB_14740","species","cat",13.703520532694,0.510413788589455,2989,526,2.02136260775183e-97,2.21691768794364e-95,"dog,facility",1.4018744203173e-95
"Erysipelotrichaceae_SGB_72140","species","cat",-11.0071856973333,0.494371346555838,2989,776,5.54691373226582e-97,5.94528299121946e-95,"dog,facility",3.77296805212004e-95
"Firmicutes_SGB_4668","species","cat",3.43556308904301,0.15924535244959,2989,319,8.62826651252024e-96,9.04242330512122e-94,"dog,facility",5.758146915997e-94
"Bacteroidaceae_SGB_65710","species","cat",-11.1433157811164,0.489823888658407,2989,711,9.37262104582217e-96,9.60897409828203e-94,"dog,facility",6.13906678501352e-94
"Bifidobacterium_pseudolongum_SGB_17279","species","cat",-13.9436790889097,0.614341833689026,2989,937,2.32285031141162e-95,2.33075788693983e-93,"dog,facility",1.4938039184478e-93
"Collinsella_aerofaciens_SGB_14535","species","cat",10.5134463339557,0.389639843127118,2989,921,2.66475942540517e-95,2.61812613546058e-93,"dog,facility",1.6830810870818e-93
"Oscillibacter_sp_ER4_SGB_15254","species","human",5.36211836918238,0.10244162895204,2989,230,1.33740243114446e-94,1.53833899153104e-92,"cat,facility",8.29893403325957e-93
"Slackia_piriformis_SGB_14779","species","cat",6.38134030069179,0.247966539794141,2989,492,1.40294011314755e-94,1.35025828032731e-92,"dog,facility",8.555515827936e-93
"Lachnospiraceae_bacterium_OM04_12BH_SGB_4893","species","human",3.54662970754053,0.0901853746726648,2989,154,4.56487554668599e-94,5.00650071585375e-92,"cat,facility",2.73660420485226e-92
"Ruminococcus_lactaris_SGB_4557","species","human",3.35121689411653,0.0845084669959989,2989,162,7.64018669982449e-91,7.20622409527445e-89,"dog,facility",4.50389005954654e-89
"Blautia_glucerasea_SGB_4809","species","human",3.12264430817525,0.0956898511788307,2989,115,2.13979504965428e-89,2.293471239584e-87,"cat,facility",1.24073034272577e-87
"Lacrimispora_amygdalina_SGB_4716","species","human",4.67102177631896,0.0888377763816379,2989,221,3.3869675981248e-89,3.13194886132482e-87,"dog,facility",1.93221038622055e-87
"Bifidobacterium_canis_SGB_53847","species","cat",-9.21611099623975,0.433661858490152,2989,688,1.86626506425094e-88,1.6925588544245e-86,"dog,facility",1.04777452892946e-86
"Allobaculum_mucolyticum_SGB_65944","species","cat",-8.75487580265755,0.413830387698319,2989,747,5.91742276239962e-88,5.26538976367483e-86,"dog,facility",3.27030067353241e-86
"Erysipelotrichaceae_SGB_106319","species","cat",3.11452121654421,0.145056914111387,2989,105,1.07344167620143e-87,9.37472397215917e-86,"dog,facility",5.8411741672684e-86
"Actinobacteria_SGB_13825","species","cat",2.68990319654117,0.128906344808524,2989,107,4.26429090537391e-86,3.65643561995334e-84,"dog,facility",2.28527226247084e-84
"Faecalibaculum_rodentium_SGB_4047","species","cat",-8.51789675114451,0.413842213588918,2989,706,3.87689512686141e-84,3.20762059969797e-82,"dog,facility",2.0466534423446e-82
"Erysipelotrichaceae_SGB_42251","species","cat",-9.52932136234369,0.4609003064817,2989,737,7.14586897829923e-84,5.81033070718262e-82,"dog,facility",3.71690273180064e-82
"Oscillospiraceae_SGB_72905","species","cat",-10.54710433392,0.509354802780133,2989,1071,3.60811708434439e-82,2.88404748640138e-80,"dog,facility",1.8495521923661e-80
"Roseburia_inulinivorans_SGB_4940","species","human",9.58530167835742,0.280986806258952,2989,301,5.75566430435306e-81,4.5239521432215e-79,"dog,facility",2.90825494921382e-79
"Firmicutes_SGB_6276","species","human",3.04317053570628,0.0917218033168617,2989,122,1.05446657987862e-80,8.152236706078e-79,"dog,facility",5.25302576483194e-79
"Ruminococcus_callidus_SGB_4422","species","human",2.58541531591354,0.0815746686810084,2989,119,1.16689073221367e-80,8.87589789212848e-79,"dog,facility",5.73235072199965e-79
"Sutterellaceae_SGB_9285","species","cat",-8.40452375503498,0.408532479337169,2989,637,1.25045480088319e-80,9.36054736661128e-79,"dog,facility",6.05871045304636e-79
"Bifidobacterium_adolescentis_SGB_17244","species","cat",9.16656365320467,0.41832802631676,2989,386,1.49046357048083e-80,1.08138864590578e-78,"dog,facility",7.12401303890635e-79
"Streptococcus_parasanguinis_SGB_8071","species","human",2.34968826685361,0.0763747827734093,2989,125,2.38567131396226e-80,2.00907605654393e-78,"cat,facility",1.1250825916646e-78
"Clostridium_sp_AM49_4BH_SGB_4652","species","human",3.73396423573546,0.191414953102062,2989,140,1.32729053159346e-79,1.09815827140259e-77,"cat,facility",6.17714027663956e-78
"Collinsella_sp_BA40_SGB_86217","species","cat",-7.46207279567045,0.374302500616741,2989,879,4.46268351501452e-79,3.18879022072855e-77,"dog,facility",2.04993657046836e-77
"Oscillospiraceae_SGB_15265","species","human",2.32131994631225,0.0782412409474566,2989,106,2.72343280964337e-74,2.17689985258951e-72,"cat,facility",1.23497203175751e-72
"Collinsella_SGB14744_SGB_14744","species","cat",-11.7356895180356,0.580665121566188,2989,1247,3.04651762867033e-74,2.14438464728497e-72,"dog,facility",1.36399150032999e-72
"Blautia_SGB4815_SGB_4815","species","human",2.64044883031043,0.0766155694309587,2989,143,1.57964516375025e-73,1.09553038121267e-71,"dog,facility",6.98400618023079e-72
"Blautia_glucerasea_SGB_4804","species","human",2.35217835015814,0.0774324407643049,2989,104,4.84382860705851e-73,3.74483536244065e-71,"cat,facility",2.11513849174888e-71
"Collinsella_tanakaei_SGB_14737","species","cat",9.57004707891905,0.434422572125092,2989,1031,1.11647361692389e-72,7.63085446001894e-71,"dog,facility",4.8158136378778e-71
"Erysipelotrichaceae_SGB_44483","species","cat",-6.6711827867495,0.349997942988687,2989,682,2.64400963110151e-72,1.78130706003925e-70,"dog,facility",1.12673036930193e-70
"Lacrimispora_amygdalina_SGB_4716","species","human",5.05764040538883,0.17312142995361,2989,221,4.47288849886074e-72,3.29595971259801e-70,"cat,facility",1.883405550056e-70
"Bacteroidaceae_SGB_65714","species","cat",-6.86101743029212,0.359909426493616,2989,494,1.64939900278166e-71,1.09557263339695e-69,"dog,facility",6.86344032098674e-70
"Pseudoflavonifractor_phocaeensis_SGB_15149","species","cat",4.04645104908242,0.220053422655015,2989,342,1.98462282185429e-71,1.29992794831456e-69,"dog,facility",8.16233828011468e-70
"Streptococcus_parasanguinis_SGB_8071","species","human",2.29530834303938,0.0763380041452483,2989,125,2.59814308682024e-70,1.67847161608825e-68,"dog,facility",1.05627955150381e-68
"Eubacteriaceae_SGB_106207","species","cat",-8.13520536413166,0.434892549368456,2989,632,1.98411874306727e-69,1.26447351247368e-67,"dog,facility",7.97480453889651e-68
"Lactobacillus_acidophilus_SGB_7044","species","cat",-12.1012721137213,0.638630209758972,2989,896,1.30742043379255e-68,8.22105968768754e-67,"dog,facility",5.19589446553286e-67
"Oscillospiraceae_SGB_15106","species","human",2.36331684023581,0.0783947993750771,2989,111,2.52609448256817e-68,1.72653066373789e-66,"cat,facility",9.92755131649291e-67
"Blautia_wexlerae_SGB_4831","species","human",4.71528511556835,0.270316624030183,2989,156,3.91863798821829e-68,2.43161799374177e-66,"dog,facility",1.52310138069539e-66
"Erysipelotrichaceae_SGB_65947","species","cat",-9.07922637961361,0.497332292805893,2989,711,5.75747356647076e-68,3.52626562850339e-66,"dog,facility",2.21349826137033e-66
"Prevotellaceae_SGB_65708","species","cat",-8.12092188913993,0.439859795664339,2989,773,1.16709207928604e-67,7.05641826399096e-66,"dog,facility",4.43871471444594e-66
"Veillonella_atypica_SGB_6936","species","human",1.60481156346164,0.0627939340969049,2989,75,1.2482756281225e-66,8.17620536420236e-65,"cat,facility",4.69696903900987e-65
"Slackia_faecicanis_SGB_33547","species","cat",-7.50148393809339,0.39901112525205,2989,678,3.1867856700812e-66,1.90239002786113e-64,"dog,facility",1.18649062263971e-64
"Oscillospiraceae_SGB_15106","species","human",2.36087517973274,0.0783923846684036,2989,111,1.19200840190596e-65,7.02688952923566e-64,"dog,facility",4.39180595577227e-64
"Faecalibacterium_prausnitzii_SGB_15332","species","human",5.36526409668319,0.100139663492224,2989,218,5.78207355919244e-65,3.36645171668538e-63,"dog,facility",2.10837053390347e-63
"Lachnospiraceae_SGB_106016","species","cat",-6.22758061169945,0.34807734494214,2989,867,2.4110965074529e-64,1.38667452794487e-62,"dog,facility",8.70209014985807e-63
"Firmicutes_unclassified_SGB47659_SGB_47659","species","cat",-12.2902474865635,0.609972087308225,2989,1365,3.36098912023642e-64,1.90968972181144e-62,"dog,facility",1.20078974932083e-62
"Mediterraneibacter_SGB4586_SGB_4586","species","cat",6.39970766337214,0.343339384567865,2989,423,1.7444735616851e-63,9.79397299631775e-62,"dog,facility",6.1702029876802e-62
"Lachnospiraceae_SGB_4859","species","cat",-14.6112134866424,0.797636857520987,2989,1935,2.19814712014009e-63,1.21958374336243e-61,"dog,facility",7.69786768706485e-62
"Bifidobacterium_pullorum_SGB_17264","species","cat",8.36641251482754,0.468613758669717,2989,1199,4.14096951761902e-63,2.27079212152225e-61,"dog,facility",1.43594207684495e-61
"Allobaculum_stercoricanis_SGB_29316","species","cat",-14.5168319585469,0.787846107529694,2989,1451,1.77194731821454e-62,9.49602676443157e-61,"dog,facility",6.02632467742772e-61
"Lachnospiraceae_SGB_66069","species","cat",-12.3427251453183,0.687285132244493,2989,1519,1.76683024857402e-62,9.49602676443157e-61,"dog,facility",6.02632467742772e-61
"Baileyella_intestinalis_SGB_3928","species","cat",2.5110914403659,0.142576559973368,2989,74,4.87789937507665e-62,2.58473859020916e-60,"dog,facility",1.64315524663296e-60
"Agathobaculum_butyriciproducens_SGB_14991","species","human",3.41858435200079,0.20491942356678,2989,115,5.34384360483407e-62,2.80017404893305e-60,"dog,facility",1.78312970097152e-60
"Eubacteriales_unclassified_SGB_15370","species","human",1.89588687955775,0.0733297164612616,2989,88,6.19591547965095e-62,3.56340700024803e-60,"cat,facility",2.04812645341359e-60
"Blautia_glucerasea_SGB_4809","species","human",2.92327899774633,0.174958988339506,2989,115,6.27256773701537e-62,3.25070653272137e-60,"dog,facility",2.05426593387253e-60
"Alistipes_senegalensis_SGB_2296","species","human",2.14250943120889,0.12431080755776,2989,106,6.87766723418625e-62,3.52555203004591e-60,"dog,facility",2.23177146856117e-60
"Lachnospiraceae_SGB_4591","species","cat",-9.1185945507064,0.511682931290261,2989,1395,2.26412773590481e-61,1.14813187123947e-59,"dog,facility",7.28019981990483e-60
"Bacteroidaceae_SGB_1894","species","cat",2.51748070582642,0.14573241470365,2989,94,4.23970192412041e-61,2.1270674759736e-59,"dog,facility",1.35097528879404e-59
"Bifidobacterium_criceti_SGB_17283","species","cat",-7.25061689263399,0.424879621609966,2989,593,1.68988856254441e-60,8.38896259048363e-59,"dog,facility",5.33672843367819e-59
"Ruminococcus_callidus_SGB_4422","species","human",2.63564009123373,0.0815409426842181,2989,119,3.50703223668402e-60,1.92315860793045e-58,"cat,facility",1.09773212576561e-58
"Firmicutes_SGB_4053","species","cat",3.86126082138573,0.22285516268782,2989,102,3.96640757592308e-60,1.94849772167222e-58,"dog,facility",1.2306301400035e-58
"Clostridium_SGB6177_SGB_6177","species","cat",-6.45142557574261,0.371572349995285,2989,563,5.58879530104862e-60,2.71719161234488e-58,"dog,facility",1.71891904172252e-58
"Veillonellaceae_SGB_5805","species","cat",5.54647904231556,0.321350560032164,2989,263,1.32965541097772e-59,6.39862746752135e-58,"dog,facility",4.05430274881741e-58
"Eubacteriales_unclassified_SGB_15370","species","human",1.90598387262103,0.0733355634750263,2989,88,2.52795384374227e-59,1.2042252855645e-57,"dog,facility",7.64219892762086e-58
"Lachnospira_pectinoschiza_SGB_5089","species","human",3.64691878289394,0.219096062368675,2989,167,9.45078364860816e-59,4.95221063187068e-57,"cat,facility",2.83283235297687e-57
"Oscillospiraceae_unclassified_SGB15256_SGB_15256","species","human",1.95112820254271,0.0843746181994452,2989,75,1.00695117226662e-58,5.21844145979052e-57,"cat,facility",2.99292966076221e-57
